algorithm,row_index,model,historical_model,error_type,error_message
algo2,0,mistral-small-2603,gpt-5,URLError,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
algo2,0,mistral-medium-2508,gpt-5,URLError,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
algo2,40,mistral-small-2506,gpt-5,URLError,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
algo2,40,mistral-small-2603,gpt-5,URLError,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
algo2,40,mistral-medium-2508,gpt-5,URLError,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
algo2,80,mistral-small-2506,gpt-5,URLError,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
algo2,80,mistral-small-2603,gpt-5,URLError,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
algo2,80,mistral-medium-2508,gpt-5,URLError,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
algo2,120,mistral-small-2506,gpt-5,URLError,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
algo2,120,mistral-small-2603,gpt-5,URLError,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
algo2,120,mistral-medium-2508,gpt-5,URLError,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
algo2,160,mistral-small-2506,gpt-5,URLError,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
algo2,160,mistral-small-2603,gpt-5,URLError,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
algo2,160,mistral-medium-2508,gpt-5,URLError,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
algo2,200,mistral-small-2506,gpt-5,URLError,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
algo2,200,mistral-small-2603,gpt-5,URLError,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
algo2,200,mistral-medium-2508,gpt-5,URLError,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
algo2,240,mistral-small-2506,gpt-5,URLError,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
algo2,240,mistral-small-2603,gpt-5,URLError,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
algo2,240,mistral-medium-2508,gpt-5,URLError,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
algo2,280,mistral-small-2506,gpt-5,URLError,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
algo2,280,mistral-small-2603,gpt-5,URLError,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
algo2,280,mistral-medium-2508,gpt-5,URLError,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
algo3,0,mistral-small-2506,gpt-5,URLError,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
algo3,0,mistral-small-2603,gpt-5,URLError,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
algo3,0,mistral-medium-2508,gpt-5,URLError,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
algo3,30,mistral-small-2506,gpt-5,URLError,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
algo3,30,mistral-small-2603,gpt-5,URLError,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
algo3,30,mistral-medium-2508,gpt-5,URLError,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
algo3,60,mistral-small-2506,gpt-5,URLError,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
algo3,60,mistral-small-2603,gpt-5,URLError,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
algo3,60,mistral-medium-2508,gpt-5,URLError,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
algo3,90,mistral-small-2506,gpt-5,URLError,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
algo3,90,mistral-small-2603,gpt-5,URLError,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
algo3,90,mistral-medium-2508,gpt-5,URLError,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
algo3,120,mistral-small-2506,gpt-5,URLError,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
algo3,120,mistral-small-2603,gpt-5,URLError,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
algo3,120,mistral-medium-2508,gpt-5,URLError,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
algo3,150,mistral-small-2506,gpt-5,URLError,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
algo3,150,mistral-small-2603,gpt-5,URLError,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
algo3,150,mistral-medium-2508,gpt-5,URLError,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
algo3,180,mistral-small-2506,gpt-5,URLError,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
algo3,180,mistral-small-2603,gpt-5,URLError,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
algo3,180,mistral-medium-2508,gpt-5,URLError,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
algo3,210,mistral-small-2506,gpt-5,URLError,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
algo3,210,mistral-small-2603,gpt-5,URLError,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
algo3,210,mistral-medium-2508,gpt-5,URLError,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
