algorithm,row_index,model,metric_name,historical_score,probe_score,score_delta,parsed_edge_count,historical_model,response_source
algo1,0,mistral-small-2506,accuracy,0.8928571428571429,0.922077922077922,0.029220779220779147,5,gpt-5,cache
algo1,0,mistral-small-2506,recall,0.4210526315789473,0.0,-0.4210526315789473,5,gpt-5,cache
algo1,0,mistral-small-2506,precision,0.2666666666666666,0.0,-0.2666666666666666,5,gpt-5,cache
algo1,0,mistral-small-2603,accuracy,0.8928571428571429,0.9383116883116883,0.045454545454545414,5,gpt-5,cache
algo1,0,mistral-small-2603,recall,0.4210526315789473,0.05263157894736842,-0.36842105263157887,5,gpt-5,cache
algo1,0,mistral-small-2603,precision,0.2666666666666666,0.5,0.2333333333333334,5,gpt-5,cache
algo1,0,mistral-medium-2508,accuracy,0.8928571428571429,0.9383116883116883,0.045454545454545414,4,gpt-5,cache
algo1,0,mistral-medium-2508,recall,0.4210526315789473,0.10526315789473684,-0.31578947368421045,4,gpt-5,cache
algo1,0,mistral-medium-2508,precision,0.2666666666666666,0.5,0.2333333333333334,4,gpt-5,cache
algo1,20,mistral-small-2506,accuracy,0.8928571428571429,0.922077922077922,0.029220779220779147,5,gpt-5,cache
algo1,20,mistral-small-2506,recall,0.3684210526315789,0.0,-0.3684210526315789,5,gpt-5,cache
algo1,20,mistral-small-2506,precision,0.25,0.0,-0.25,5,gpt-5,cache
algo1,20,mistral-small-2603,accuracy,0.8928571428571429,0.9415584415584416,0.04870129870129869,6,gpt-5,cache
algo1,20,mistral-small-2603,recall,0.3684210526315789,0.10526315789473684,-0.2631578947368421,6,gpt-5,cache
algo1,20,mistral-small-2603,precision,0.25,0.6666666666666666,0.41666666666666663,6,gpt-5,cache
algo1,20,mistral-medium-2508,accuracy,0.8928571428571429,0.9383116883116883,0.045454545454545414,4,gpt-5,cache
algo1,20,mistral-medium-2508,recall,0.3684210526315789,0.10526315789473684,-0.2631578947368421,4,gpt-5,cache
algo1,20,mistral-medium-2508,precision,0.25,0.5,0.25,4,gpt-5,cache
algo1,40,mistral-small-2506,accuracy,0.9025974025974026,0.922077922077922,0.01948051948051943,5,gpt-5,cache
algo1,40,mistral-small-2506,recall,0.3684210526315789,0.0,-0.3684210526315789,5,gpt-5,cache
algo1,40,mistral-small-2506,precision,0.28,0.0,-0.28,5,gpt-5,cache
algo1,40,mistral-small-2603,accuracy,0.9025974025974026,0.9415584415584416,0.038961038961038974,6,gpt-5,cache
algo1,40,mistral-small-2603,recall,0.3684210526315789,0.10526315789473684,-0.2631578947368421,6,gpt-5,cache
algo1,40,mistral-small-2603,precision,0.28,0.6666666666666666,0.3866666666666666,6,gpt-5,cache
algo1,40,mistral-medium-2508,accuracy,0.9025974025974026,0.9383116883116883,0.0357142857142857,4,gpt-5,cache
algo1,40,mistral-medium-2508,recall,0.3684210526315789,0.10526315789473684,-0.2631578947368421,4,gpt-5,cache
algo1,40,mistral-medium-2508,precision,0.28,0.5,0.21999999999999997,4,gpt-5,cache
algo1,60,mistral-small-2506,accuracy,0.9090909090909092,0.922077922077922,0.01298701298701288,5,gpt-5,cache
algo1,60,mistral-small-2506,recall,0.2631578947368421,0.0,-0.2631578947368421,5,gpt-5,cache
algo1,60,mistral-small-2506,precision,0.2631578947368421,0.0,-0.2631578947368421,5,gpt-5,cache
algo1,60,mistral-small-2603,accuracy,0.9090909090909092,0.9415584415584416,0.03246753246753242,8,gpt-5,cache
