algorithm,row_index,model,metric_name,historical_score,probe_score,score_delta,parsed_edge_count,historical_model
algo1,0,mistral-small-2603,accuracy,0.8928571428571429,0.9415584415584416,0.04870129870129869,6,gpt-5
algo1,0,mistral-small-2603,recall,0.4210526315789473,0.10526315789473684,-0.31578947368421045,6,gpt-5
algo1,0,mistral-small-2603,precision,0.2666666666666666,0.6666666666666666,0.4,6,gpt-5
algo1,80,mistral-small-2603,accuracy,0.8928571428571429,0.9383116883116883,0.045454545454545414,9,gpt-5
algo1,80,mistral-small-2603,recall,0.631578947368421,0.05263157894736842,-0.5789473684210527,9,gpt-5
algo1,80,mistral-small-2603,precision,0.3157894736842105,0.5,0.1842105263157895,9,gpt-5
algo2,0,mistral-small-2603,accuracy,0.8863636363636364,0.935064935064935,0.04870129870129869,6,gpt-5
algo2,0,mistral-small-2603,recall,0.4210526315789473,0.0,-0.4210526315789473,6,gpt-5
algo2,0,mistral-small-2603,precision,0.25,0.0,-0.25,6,gpt-5
algo2,160,mistral-small-2603,accuracy,0.9415584415584416,0.9415584415584416,0.0,6,gpt-5
algo2,160,mistral-small-2603,recall,0.4210526315789473,0.10526315789473684,-0.31578947368421045,6,gpt-5
algo2,160,mistral-small-2603,precision,0.5333333333333333,0.6666666666666666,0.1333333333333333,6,gpt-5
algo3,0,mistral-small-2603,recall,0.0,0.0,0.0,20,gpt-5
algo3,1,mistral-small-2603,recall,0.0,0.0,0.0,13,gpt-5
