algorithm,model,failure_rate
algo1,deepseek-chat-v3.1,0.0
algo1,deepseek-v3-chat-0324,0.0
algo1,gemini-2.0-flash-exp,0.0
algo1,gemini-2.5-pro,0.0
algo1,gpt-5,0.0
algo1,openai-gpt-4o,0.0
algo2,deepseek-chat-v3-0324,0.0
algo2,deepseek-chat-v3.1,0.0
algo2,gemini-2.0-flash-exp,0.0
algo2,gemini-2.5-pro,0.0
algo2,gpt-5,0.0
algo2,openai-gpt-4o,0.0
algo3,deepseek-chat-v3.1,0.0
algo3,deepseek-v3-chat-0324,0.0
algo3,gemini-2.0-flash-exp,0.0
algo3,google-gemini-2.5-pro,0.0
algo3,gpt-5,0.0
algo3,openai-gpt-4o,0.0
