algorithm,model,total_rows,failure_count,failure_rate
algo1,deepseek-chat-v3.1,480,0,0.0
algo1,deepseek-v3-chat-0324,480,0,0.0
algo1,gemini-2.0-flash-exp,480,0,0.0
algo1,gemini-2.5-pro,480,0,0.0
algo1,gpt-5,480,0,0.0
algo1,openai-gpt-4o,480,0,0.0
algo2,deepseek-chat-v3-0324,960,0,0.0
algo2,deepseek-chat-v3.1,960,0,0.0
algo2,gemini-2.0-flash-exp,960,0,0.0
algo2,gemini-2.5-pro,960,0,0.0
algo2,gpt-5,960,0,0.0
algo2,openai-gpt-4o,960,0,0.0
algo3,deepseek-chat-v3.1,240,0,0.0
algo3,deepseek-v3-chat-0324,240,0,0.0
algo3,gemini-2.0-flash-exp,240,0,0.0
algo3,google-gemini-2.5-pro,240,0,0.0
algo3,gpt-5,240,0,0.0
algo3,openai-gpt-4o,240,0,0.0
