algorithm,factor,metric,source_file_count,level_low,level_high,global_mean_low,global_mean_high,global_mean_difference_high_minus_low,winner_count_low,winner_count_high,tie_count
algo1,Explanation,accuracy,18,-1,1,0.9062148163528977,0.9149421960468473,0.008727379693949655,7,11,0
algo1,Explanation,precision,18,-1,1,0.3042821783913029,0.3250256043699583,0.020743425978655416,6,12,0
algo1,Explanation,recall,18,-1,1,0.11531705560892662,0.10390267008242024,-0.01141438552650638,13,5,0
algo1,Example,accuracy,18,-1,1,0.9117062967717037,0.9094507156280413,-0.002255581143662422,3,15,0
algo1,Example,precision,18,-1,1,0.2987260850252707,0.3305816977359905,0.031855612710719794,3,15,0
algo1,Example,recall,18,-1,1,0.12342297780522572,0.09579674788612112,-0.0276262299191046,16,2,0
algo1,Counterexample,accuracy,18,-1,1,0.9099322229772812,0.9112247894224639,0.001292566445182719,5,13,0
algo1,Counterexample,precision,18,-1,1,0.3112299095207928,0.3180778732404684,0.006847963719675554,6,12,0
algo1,Counterexample,recall,18,-1,1,0.10989941920751459,0.10932030648383227,-0.0005791127236823151,7,10,1
algo1,Array/List(1/-1),accuracy,18,-1,1,0.9112063848619081,0.9099506275378368,-0.0012557573240712383,12,5,1
algo1,Array/List(1/-1),precision,18,-1,1,0.3249317741277243,0.3043760086335369,-0.02055576549418736,11,7,0
algo1,Array/List(1/-1),recall,18,-1,1,0.10710827481567885,0.112111450875668,0.005003176059989151,8,9,1
algo1,Tag/Adjacency(1/-1),accuracy,18,-1,1,0.9081953253464883,0.9129616870532568,0.004766361706768474,12,5,1
algo1,Tag/Adjacency(1/-1),precision,18,-1,1,0.323045466739682,0.3062623160215793,-0.016783150718102713,11,7,0
algo1,Tag/Adjacency(1/-1),recall,18,-1,1,0.10653334362634087,0.11268638206500597,0.006153038438665104,7,11,0
algo2,Explanation,accuracy,18,-1,1,0.8632781301385951,0.8635002957314004,0.00022216559280530124,9,9,0
algo2,Explanation,precision,18,-1,1,0.34385908267847615,0.3383423813147781,-0.005516701363698029,9,9,0
algo2,Explanation,recall,18,-1,1,0.10974975959155812,0.10690819256692354,-0.002841567024634589,9,9,0
algo2,Example,accuracy,18,-1,1,0.8868190312594382,0.8399593946105574,-0.04685963664888082,12,6,0
algo2,Example,precision,18,-1,1,0.35166082297858564,0.33054064101466857,-0.021120181963917073,11,7,0
algo2,Example,recall,18,-1,1,0.11246882910366957,0.1041891230548121,-0.008279706048857471,11,6,1
algo2,Counterexample,accuracy,18,-1,1,0.8685947147974764,0.8581837110725192,-0.01041100372495718,12,6,0
algo2,Counterexample,precision,18,-1,1,0.3500179566409767,0.33218350735227753,-0.01783444928869915,12,6,0
algo2,Counterexample,recall,18,-1,1,0.11156798245614027,0.10508996970234137,-0.0064780127537989035,10,7,1
algo2,Array/List(1/-1),accuracy,18,-1,1,0.8664381040471157,0.86034032182288,-0.006097782224235737,12,5,1
algo2,Array/List(1/-1),precision,18,-1,1,0.3490183285309796,0.3331831354622746,-0.015835193068704956,12,6,0
algo2,Array/List(1/-1),recall,18,-1,1,0.10841169838437895,0.1082462537741027,-0.0001654446102762469,8,9,1
algo2,Tag/Adjacency(1/-1),accuracy,18,-1,1,0.854470263263868,0.8723081626061278,0.017837899342259766,4,14,0
algo2,Tag/Adjacency(1/-1),precision,18,-1,1,0.337122512514299,0.34507895147895523,0.007956438964656254,7,11,0
algo2,Tag/Adjacency(1/-1),recall,18,-1,1,0.10910132393810462,0.10755662822037701,-0.0015446957177276122,9,8,1
algo2,Convergence,accuracy,18,-1,1,0.8471803007231786,0.8795981251468169,0.032417824423638275,13,5,0
algo2,Convergence,precision,18,-1,1,0.3508168528002683,0.33138461119298596,-0.019432241607282352,12,6,0
algo2,Convergence,recall,18,-1,1,0.10222058534809418,0.11443736681038745,0.012216781462293269,5,13,0
algo3,Depth,Recall,6,1,2,0.01439394166666665,0.06515151666666665,0.050757575,0,5,1
algo3,Number of Words,Recall,6,3,5,0.031755051388888865,0.047790406944444426,0.01603535555555556,2,2,2
algo3,Example,Recall,6,-1,1,0.034659093055555514,0.04488636527777774,0.01022727222222223,1,4,1
algo3,Counter-Example,Recall,6,-1,1,0.042487376388888866,0.03705808194444443,-0.005429294444444434,2,3,1
