source_input,Example,Counter-Example,Number of Words,Depth,Source Subgraph Name,Target Subgraph Name,n_outputs,unique_output_count,mean_edge_count,sample_std_edge_count,mean_pairwise_jaccard,min_pairwise_jaccard,exact_match_pair_rate,union_edge_count
data/results/algo3/deepseek-chat-v3.1/raw/Method 3 Results Deepseek Chat v3.1.csv,-1,-1,3,1,subgraph_1,subgraph_3,5,5,21.8,16.37681287674742,0.0381818181818181,0.0,0.0,88
data/results/algo3/deepseek-chat-v3.1/raw/Method 3 Results Deepseek Chat v3.1.csv,-1,-1,3,1,subgraph_2,subgraph_1,5,5,50.2,29.252350332921967,0.0225228758169934,0.0,0.0,227
data/results/algo3/deepseek-chat-v3.1/raw/Method 3 Results Deepseek Chat v3.1.csv,-1,-1,3,1,subgraph_2,subgraph_3,5,5,40.0,22.39419567655869,0.0834095303947884,0.0373831775700934,0.0,169
data/results/algo3/deepseek-chat-v3.1/raw/Method 3 Results Deepseek Chat v3.1.csv,-1,-1,3,2,subgraph_1,subgraph_3,5,5,33.0,22.0,0.0098168626616071,0.0,0.0,159
data/results/algo3/deepseek-chat-v3.1/raw/Method 3 Results Deepseek Chat v3.1.csv,-1,-1,3,2,subgraph_2,subgraph_1,5,5,52.4,21.007141642784248,0.0663681228379934,0.0,0.0,207
data/results/algo3/deepseek-chat-v3.1/raw/Method 3 Results Deepseek Chat v3.1.csv,-1,-1,3,2,subgraph_2,subgraph_3,5,5,21.2,14.042791745233568,0.0484246498046241,0.0,0.0,85
data/results/algo3/deepseek-chat-v3.1/raw/Method 3 Results Deepseek Chat v3.1.csv,-1,-1,5,1,subgraph_1,subgraph_3,5,5,43.4,18.24280680158621,0.0313760715311102,0.0,0.0,200
data/results/algo3/deepseek-chat-v3.1/raw/Method 3 Results Deepseek Chat v3.1.csv,-1,-1,5,1,subgraph_2,subgraph_1,5,5,66.0,6.892024376045111,0.1314942545941127,0.0,0.0,239
data/results/algo3/deepseek-chat-v3.1/raw/Method 3 Results Deepseek Chat v3.1.csv,-1,-1,5,1,subgraph_2,subgraph_3,5,5,37.4,37.85894874398918,0.0102189781021897,0.0,0.0,173
data/results/algo3/deepseek-chat-v3.1/raw/Method 3 Results Deepseek Chat v3.1.csv,-1,-1,5,2,subgraph_1,subgraph_3,5,5,36.6,13.446189051177289,0.0,0.0,0.0,183
data/results/algo3/deepseek-chat-v3.1/raw/Method 3 Results Deepseek Chat v3.1.csv,-1,-1,5,2,subgraph_2,subgraph_1,5,5,70.6,34.03380672214026,0.0238417159156836,0.0,0.0,323
data/results/algo3/deepseek-chat-v3.1/raw/Method 3 Results Deepseek Chat v3.1.csv,-1,-1,5,2,subgraph_2,subgraph_3,5,5,29.0,31.945265689926575,0.0419999999999999,0.0,0.0,136
data/results/algo3/deepseek-chat-v3.1/raw/Method 3 Results Deepseek Chat v3.1.csv,-1,1,3,1,subgraph_1,subgraph_3,5,5,34.2,17.079227148791013,0.0092105263157894,0.0,0.0,164
data/results/algo3/deepseek-chat-v3.1/raw/Method 3 Results Deepseek Chat v3.1.csv,-1,1,3,1,subgraph_2,subgraph_1,5,5,19.2,12.93058390019569,0.021377563433126,0.0,0.0,90
data/results/algo3/deepseek-chat-v3.1/raw/Method 3 Results Deepseek Chat v3.1.csv,-1,1,3,1,subgraph_2,subgraph_3,5,5,36.0,18.096961070853855,0.1571379310328585,0.0125,0.0,119
data/results/algo3/deepseek-chat-v3.1/raw/Method 3 Results Deepseek Chat v3.1.csv,-1,1,3,2,subgraph_1,subgraph_3,5,5,39.6,20.719555979798407,0.0,0.0,0.0,198
data/results/algo3/deepseek-chat-v3.1/raw/Method 3 Results Deepseek Chat v3.1.csv,-1,1,3,2,subgraph_2,subgraph_1,5,5,52.2,23.15599274485981,0.0531830195038571,0.0,0.0,219
data/results/algo3/deepseek-chat-v3.1/raw/Method 3 Results Deepseek Chat v3.1.csv,-1,1,3,2,subgraph_2,subgraph_3,5,5,33.8,17.42699056062176,0.0659754044758637,0.0,0.0,135
data/results/algo3/deepseek-chat-v3.1/raw/Method 3 Results Deepseek Chat v3.1.csv,-1,1,5,1,subgraph_1,subgraph_3,5,5,32.0,29.740544715926102,0.0098214285714285,0.0,0.0,149
data/results/algo3/deepseek-chat-v3.1/raw/Method 3 Results Deepseek Chat v3.1.csv,-1,1,5,1,subgraph_2,subgraph_1,5,5,61.2,34.72319109759355,0.02218369238878,0.0,0.0,278
data/results/algo3/deepseek-chat-v3.1/raw/Method 3 Results Deepseek Chat v3.1.csv,-1,1,5,1,subgraph_2,subgraph_3,5,5,50.2,34.142349069740355,0.0323966992605568,0.0,0.0,219
data/results/algo3/deepseek-chat-v3.1/raw/Method 3 Results Deepseek Chat v3.1.csv,-1,1,5,2,subgraph_1,subgraph_3,5,5,46.6,31.34166555880526,0.007191809500655,0.0,0.0,226
data/results/algo3/deepseek-chat-v3.1/raw/Method 3 Results Deepseek Chat v3.1.csv,-1,1,5,2,subgraph_2,subgraph_1,5,5,94.6,35.210793799629116,0.076319999112979,0.0,0.0,372
data/results/algo3/deepseek-chat-v3.1/raw/Method 3 Results Deepseek Chat v3.1.csv,-1,1,5,2,subgraph_2,subgraph_3,5,5,52.2,44.11008954876424,0.0419488496767023,0.0,0.0,223
data/results/algo3/deepseek-chat-v3.1/raw/Method 3 Results Deepseek Chat v3.1.csv,1,-1,3,1,subgraph_1,subgraph_3,5,5,29.6,12.759310326189263,0.00625,0.0,0.0,146
data/results/algo3/deepseek-chat-v3.1/raw/Method 3 Results Deepseek Chat v3.1.csv,1,-1,3,1,subgraph_2,subgraph_1,5,5,28.6,28.684490582891655,0.0328127553916234,0.0095238095238095,0.0,135
data/results/algo3/deepseek-chat-v3.1/raw/Method 3 Results Deepseek Chat v3.1.csv,1,-1,3,1,subgraph_2,subgraph_3,5,5,15.6,23.13655116909173,0.136150234741784,0.0,0.0,74
data/results/algo3/deepseek-chat-v3.1/raw/Method 3 Results Deepseek Chat v3.1.csv,1,-1,3,2,subgraph_1,subgraph_3,5,5,35.2,24.641428530018302,0.0153087870479174,0.0,0.0,167
data/results/algo3/deepseek-chat-v3.1/raw/Method 3 Results Deepseek Chat v3.1.csv,1,-1,3,2,subgraph_2,subgraph_1,5,5,19.8,5.890670590009257,0.4067478632478633,0.0,0.0,55
data/results/algo3/deepseek-chat-v3.1/raw/Method 3 Results Deepseek Chat v3.1.csv,1,-1,3,2,subgraph_2,subgraph_3,5,5,23.8,11.691877522451216,0.0203598070118195,0.0,0.0,111
data/results/algo3/deepseek-chat-v3.1/raw/Method 3 Results Deepseek Chat v3.1.csv,1,-1,5,1,subgraph_1,subgraph_3,5,5,63.6,27.844209451877063,0.0261074889098034,0.0,0.0,288
data/results/algo3/deepseek-chat-v3.1/raw/Method 3 Results Deepseek Chat v3.1.csv,1,-1,5,1,subgraph_2,subgraph_1,5,5,59.2,41.80550203023521,0.0563678285820317,0.0,0.0,252
data/results/algo3/deepseek-chat-v3.1/raw/Method 3 Results Deepseek Chat v3.1.csv,1,-1,5,1,subgraph_2,subgraph_3,5,4,25.2,30.019993337774075,0.1,0.0,0.1,125
data/results/algo3/deepseek-chat-v3.1/raw/Method 3 Results Deepseek Chat v3.1.csv,1,-1,5,2,subgraph_1,subgraph_3,5,5,61.4,34.76780119593415,0.0026666666666666,0.0,0.0,303
data/results/algo3/deepseek-chat-v3.1/raw/Method 3 Results Deepseek Chat v3.1.csv,1,-1,5,2,subgraph_2,subgraph_1,5,5,86.6,58.99406749835105,0.022753046502878,0.0,0.0,389
data/results/algo3/deepseek-chat-v3.1/raw/Method 3 Results Deepseek Chat v3.1.csv,1,-1,5,2,subgraph_2,subgraph_3,5,5,19.6,19.65451602049768,0.1630033416875522,0.0,0.0,76
data/results/algo3/deepseek-chat-v3.1/raw/Method 3 Results Deepseek Chat v3.1.csv,1,1,3,1,subgraph_1,subgraph_3,5,5,23.8,7.981227975693966,0.0281593406593406,0.0,0.0,109
data/results/algo3/deepseek-chat-v3.1/raw/Method 3 Results Deepseek Chat v3.1.csv,1,1,3,1,subgraph_2,subgraph_1,5,5,49.4,17.98054504179448,0.065438382020713,0.0,0.0,205
data/results/algo3/deepseek-chat-v3.1/raw/Method 3 Results Deepseek Chat v3.1.csv,1,1,3,1,subgraph_2,subgraph_3,5,5,29.4,14.046351839534706,0.0813880390094173,0.0,0.0,109
data/results/algo3/deepseek-chat-v3.1/raw/Method 3 Results Deepseek Chat v3.1.csv,1,1,3,2,subgraph_1,subgraph_3,5,5,27.6,11.949895397031725,0.0698605488079172,0.0,0.0,106
data/results/algo3/deepseek-chat-v3.1/raw/Method 3 Results Deepseek Chat v3.1.csv,1,1,3,2,subgraph_2,subgraph_1,5,5,20.8,8.87130204648675,0.0020408163265306,0.0,0.0,103
data/results/algo3/deepseek-chat-v3.1/raw/Method 3 Results Deepseek Chat v3.1.csv,1,1,3,2,subgraph_2,subgraph_3,5,5,20.6,16.07171428317465,0.0346498599439775,0.0,0.0,93
data/results/algo3/deepseek-chat-v3.1/raw/Method 3 Results Deepseek Chat v3.1.csv,1,1,5,1,subgraph_1,subgraph_3,5,5,67.0,20.579115627256677,0.0118485461083745,0.0,0.0,317
data/results/algo3/deepseek-chat-v3.1/raw/Method 3 Results Deepseek Chat v3.1.csv,1,1,5,1,subgraph_2,subgraph_1,5,5,51.8,43.22846284567611,0.0842842787156307,0.0,0.0,207
data/results/algo3/deepseek-chat-v3.1/raw/Method 3 Results Deepseek Chat v3.1.csv,1,1,5,1,subgraph_2,subgraph_3,5,5,46.8,10.986355173577811,0.0862399265840076,0.0,0.0,186
data/results/algo3/deepseek-chat-v3.1/raw/Method 3 Results Deepseek Chat v3.1.csv,1,1,5,2,subgraph_1,subgraph_3,5,5,87.8,29.218145047213383,0.0175733032732595,0.0,0.0,417
data/results/algo3/deepseek-chat-v3.1/raw/Method 3 Results Deepseek Chat v3.1.csv,1,1,5,2,subgraph_2,subgraph_1,5,5,74.6,47.977077860161515,0.0170481568028776,0.0,0.0,342
data/results/algo3/deepseek-chat-v3.1/raw/Method 3 Results Deepseek Chat v3.1.csv,1,1,5,2,subgraph_2,subgraph_3,5,5,52.2,28.38485511676958,0.0885828310838233,0.0,0.0,181
data/results/algo3/deepseek-v3-chat-0324/raw/method3_results_deepseek.csv,-1,-1,3,1,subgraph_1,subgraph_3,5,5,35.4,16.36459593146131,0.0176448510438658,0.0,0.0,169
data/results/algo3/deepseek-v3-chat-0324/raw/method3_results_deepseek.csv,-1,-1,3,1,subgraph_2,subgraph_1,5,5,48.2,10.66302021005306,0.0230885078776645,0.0,0.0,221
data/results/algo3/deepseek-v3-chat-0324/raw/method3_results_deepseek.csv,-1,-1,3,1,subgraph_2,subgraph_3,5,5,44.6,6.58027355054484,0.0138227622436379,0.0,0.0,211
data/results/algo3/deepseek-v3-chat-0324/raw/method3_results_deepseek.csv,-1,-1,3,2,subgraph_1,subgraph_3,5,5,51.2,9.148770409186143,0.0754147311830293,0.0,0.0,201
data/results/algo3/deepseek-v3-chat-0324/raw/method3_results_deepseek.csv,-1,-1,3,2,subgraph_2,subgraph_1,5,5,111.6,45.97064280603438,0.0153616726836915,0.0,0.0,522
data/results/algo3/deepseek-v3-chat-0324/raw/method3_results_deepseek.csv,-1,-1,3,2,subgraph_2,subgraph_3,5,5,66.4,18.352111595127138,0.0035264560427833,0.0,0.0,327
data/results/algo3/deepseek-v3-chat-0324/raw/method3_results_deepseek.csv,-1,-1,5,1,subgraph_1,subgraph_3,5,5,48.8,23.413671220037237,0.0124445048511207,0.0,0.0,234
data/results/algo3/deepseek-v3-chat-0324/raw/method3_results_deepseek.csv,-1,-1,5,1,subgraph_2,subgraph_1,5,5,81.0,39.96873778342268,0.0188888888888888,0.0,0.0,388
data/results/algo3/deepseek-v3-chat-0324/raw/method3_results_deepseek.csv,-1,-1,5,1,subgraph_2,subgraph_3,5,5,77.8,31.83865575051811,0.0391797795430814,0.0,0.0,344
data/results/algo3/deepseek-v3-chat-0324/raw/method3_results_deepseek.csv,-1,-1,5,2,subgraph_1,subgraph_3,5,5,74.8,24.52957398733211,0.0012331334332833,0.0,0.0,372
data/results/algo3/deepseek-v3-chat-0324/raw/method3_results_deepseek.csv,-1,-1,5,2,subgraph_2,subgraph_1,5,5,157.8,123.35598891014574,0.0205773817960312,0.0,0.0,731
data/results/algo3/deepseek-v3-chat-0324/raw/method3_results_deepseek.csv,-1,-1,5,2,subgraph_2,subgraph_3,5,5,110.8,20.32732151563506,0.0038774910813144,0.0,0.0,547
data/results/algo3/deepseek-v3-chat-0324/raw/method3_results_deepseek.csv,-1,1,3,1,subgraph_1,subgraph_3,5,5,44.6,7.536577472566709,0.0180731982715566,0.0,0.0,208
data/results/algo3/deepseek-v3-chat-0324/raw/method3_results_deepseek.csv,-1,1,3,1,subgraph_2,subgraph_1,5,5,53.8,16.02186006679624,0.082026917483251,0.0,0.0,209
data/results/algo3/deepseek-v3-chat-0324/raw/method3_results_deepseek.csv,-1,1,3,1,subgraph_2,subgraph_3,5,5,51.2,5.215361924162119,0.0206395903406583,0.0,0.0,237
data/results/algo3/deepseek-v3-chat-0324/raw/method3_results_deepseek.csv,-1,1,3,2,subgraph_1,subgraph_3,5,5,45.6,12.421755109484328,0.0120030581039755,0.0,0.0,219
data/results/algo3/deepseek-v3-chat-0324/raw/method3_results_deepseek.csv,-1,1,3,2,subgraph_2,subgraph_1,5,5,96.0,69.6670653896086,0.003030303030303,0.0,0.0,476
data/results/algo3/deepseek-v3-chat-0324/raw/method3_results_deepseek.csv,-1,1,3,2,subgraph_2,subgraph_3,5,5,78.0,34.85685011586675,0.0056126132426332,0.0,0.0,381
data/results/algo3/deepseek-v3-chat-0324/raw/method3_results_deepseek.csv,-1,1,5,1,subgraph_1,subgraph_3,5,5,74.8,15.319921670818031,0.0026490066225165,0.0,0.0,370
data/results/algo3/deepseek-v3-chat-0324/raw/method3_results_deepseek.csv,-1,1,5,1,subgraph_2,subgraph_1,5,5,94.6,25.55973395792687,0.0448941799387753,0.0,0.0,407
data/results/algo3/deepseek-v3-chat-0324/raw/method3_results_deepseek.csv,-1,1,5,1,subgraph_2,subgraph_3,5,5,62.4,26.41590430025064,0.0165551098876711,0.0,0.0,292
data/results/algo3/deepseek-v3-chat-0324/raw/method3_results_deepseek.csv,-1,1,5,2,subgraph_1,subgraph_3,5,5,81.0,17.421251390184345,0.0153110431035469,0.0,0.0,385
data/results/algo3/deepseek-v3-chat-0324/raw/method3_results_deepseek.csv,-1,1,5,2,subgraph_2,subgraph_1,5,5,177.6,115.44176020834055,0.0087867004723696,0.0,0.0,856
data/results/algo3/deepseek-v3-chat-0324/raw/method3_results_deepseek.csv,-1,1,5,2,subgraph_2,subgraph_3,5,5,81.2,11.755849607748477,0.0249263302791459,0.0,0.0,369
data/results/algo3/deepseek-v3-chat-0324/raw/method3_results_deepseek.csv,1,-1,3,1,subgraph_1,subgraph_3,5,5,42.4,4.03732584763727,0.065710874093227,0.0,0.0,175
data/results/algo3/deepseek-v3-chat-0324/raw/method3_results_deepseek.csv,1,-1,3,1,subgraph_2,subgraph_1,5,5,46.8,15.770225109363532,0.0173737743445512,0.0,0.0,221
data/results/algo3/deepseek-v3-chat-0324/raw/method3_results_deepseek.csv,1,-1,3,1,subgraph_2,subgraph_3,5,5,34.0,5.958187643906492,0.0382403191076282,0.0,0.0,158
data/results/algo3/deepseek-v3-chat-0324/raw/method3_results_deepseek.csv,1,-1,3,2,subgraph_1,subgraph_3,5,5,48.8,7.328028384224504,0.0683383760388367,0.0,0.0,196
data/results/algo3/deepseek-v3-chat-0324/raw/method3_results_deepseek.csv,1,-1,3,2,subgraph_2,subgraph_1,5,5,72.0,15.84297951775486,0.027869689518682,0.0,0.0,338
data/results/algo3/deepseek-v3-chat-0324/raw/method3_results_deepseek.csv,1,-1,3,2,subgraph_2,subgraph_3,5,5,58.8,9.833615815151616,0.0159270591403853,0.0,0.0,280
data/results/algo3/deepseek-v3-chat-0324/raw/method3_results_deepseek.csv,1,-1,5,1,subgraph_1,subgraph_3,5,5,62.0,3.9370039370059056,0.0621356481633576,0.015625,0.0,252
data/results/algo3/deepseek-v3-chat-0324/raw/method3_results_deepseek.csv,1,-1,5,1,subgraph_2,subgraph_1,5,5,41.8,21.40560674215987,0.0139069264069264,0.0,0.0,203
data/results/algo3/deepseek-v3-chat-0324/raw/method3_results_deepseek.csv,1,-1,5,1,subgraph_2,subgraph_3,5,5,44.0,5.522680508593631,0.0163655024414518,0.0,0.0,211
data/results/algo3/deepseek-v3-chat-0324/raw/method3_results_deepseek.csv,1,-1,5,2,subgraph_1,subgraph_3,5,5,89.2,17.253985046939157,0.0295240771238552,0.0060975609756097,0.0,404
data/results/algo3/deepseek-v3-chat-0324/raw/method3_results_deepseek.csv,1,-1,5,2,subgraph_2,subgraph_1,5,5,74.8,41.62571320710313,0.0011774861878453,0.0,0.0,372
data/results/algo3/deepseek-v3-chat-0324/raw/method3_results_deepseek.csv,1,-1,5,2,subgraph_2,subgraph_3,5,5,90.6,40.90598978144888,0.0,0.0,0.0,453
data/results/algo3/deepseek-v3-chat-0324/raw/method3_results_deepseek.csv,1,1,3,1,subgraph_1,subgraph_3,5,5,36.0,13.435028842544405,0.0159824729046697,0.0,0.0,171
data/results/algo3/deepseek-v3-chat-0324/raw/method3_results_deepseek.csv,1,1,3,1,subgraph_2,subgraph_1,5,5,31.8,9.808159868191382,0.0268292682926829,0.0,0.0,148
data/results/algo3/deepseek-v3-chat-0324/raw/method3_results_deepseek.csv,1,1,3,1,subgraph_2,subgraph_3,5,5,34.6,5.856620185738529,0.0193333333333333,0.0,0.0,161
data/results/algo3/deepseek-v3-chat-0324/raw/method3_results_deepseek.csv,1,1,3,2,subgraph_1,subgraph_3,5,5,46.2,5.167204273105526,0.0389166293316019,0.0,0.0,203
