source_input,Example,Counter-Example,Number of Words,Depth,Source Subgraph Name,Target Subgraph Name,n_outputs,unique_output_count,mean_edge_count,sample_std_edge_count,mean_pairwise_jaccard,min_pairwise_jaccard,exact_match_pair_rate,union_edge_count
data/results/algo3/deepseek-chat-v3.1/raw/Method 3 Results Deepseek Chat v3.1.csv,-1,-1,3,1,subgraph_1,subgraph_3,5,5,21.8,16.37681287674742,0.038181818181818185,0.0,0.0,88
data/results/algo3/deepseek-chat-v3.1/raw/Method 3 Results Deepseek Chat v3.1.csv,-1,-1,3,1,subgraph_2,subgraph_1,5,5,50.2,29.252350332921967,0.022522875816993464,0.0,0.0,227
data/results/algo3/deepseek-chat-v3.1/raw/Method 3 Results Deepseek Chat v3.1.csv,-1,-1,3,1,subgraph_2,subgraph_3,5,5,40.0,22.39419567655869,0.08340953039478849,0.037383177570093455,0.0,169
data/results/algo3/deepseek-chat-v3.1/raw/Method 3 Results Deepseek Chat v3.1.csv,-1,-1,3,2,subgraph_1,subgraph_3,5,5,33.0,22.0,0.009816862661607117,0.0,0.0,159
data/results/algo3/deepseek-chat-v3.1/raw/Method 3 Results Deepseek Chat v3.1.csv,-1,-1,3,2,subgraph_2,subgraph_1,5,5,52.4,21.007141642784248,0.06636812283799344,0.0,0.0,207
data/results/algo3/deepseek-chat-v3.1/raw/Method 3 Results Deepseek Chat v3.1.csv,-1,-1,3,2,subgraph_2,subgraph_3,5,5,21.2,14.042791745233567,0.04842464980462413,0.0,0.0,85
data/results/algo3/deepseek-chat-v3.1/raw/Method 3 Results Deepseek Chat v3.1.csv,-1,-1,5,1,subgraph_1,subgraph_3,5,5,43.4,18.24280680158621,0.03137607153111029,0.0,0.0,200
data/results/algo3/deepseek-chat-v3.1/raw/Method 3 Results Deepseek Chat v3.1.csv,-1,-1,5,1,subgraph_2,subgraph_1,5,5,66.0,6.892024376045111,0.13149425459411276,0.0,0.0,239
data/results/algo3/deepseek-chat-v3.1/raw/Method 3 Results Deepseek Chat v3.1.csv,-1,-1,5,1,subgraph_2,subgraph_3,5,5,37.4,37.85894874398918,0.010218978102189781,0.0,0.0,173
data/results/algo3/deepseek-chat-v3.1/raw/Method 3 Results Deepseek Chat v3.1.csv,-1,-1,5,2,subgraph_1,subgraph_3,5,5,36.6,13.446189051177289,0.0,0.0,0.0,183
data/results/algo3/deepseek-chat-v3.1/raw/Method 3 Results Deepseek Chat v3.1.csv,-1,-1,5,2,subgraph_2,subgraph_1,5,5,70.6,34.03380672214026,0.02384171591568363,0.0,0.0,323
data/results/algo3/deepseek-chat-v3.1/raw/Method 3 Results Deepseek Chat v3.1.csv,-1,-1,5,2,subgraph_2,subgraph_3,5,5,29.0,31.945265689926575,0.041999999999999996,0.0,0.0,136
data/results/algo3/deepseek-chat-v3.1/raw/Method 3 Results Deepseek Chat v3.1.csv,-1,1,3,1,subgraph_1,subgraph_3,5,5,34.2,17.079227148791013,0.009210526315789473,0.0,0.0,164
data/results/algo3/deepseek-chat-v3.1/raw/Method 3 Results Deepseek Chat v3.1.csv,-1,1,3,1,subgraph_2,subgraph_1,5,5,19.2,12.93058390019569,0.02137756343312607,0.0,0.0,90
data/results/algo3/deepseek-chat-v3.1/raw/Method 3 Results Deepseek Chat v3.1.csv,-1,1,3,1,subgraph_2,subgraph_3,5,5,36.0,18.096961070853858,0.15713793103285856,0.0125,0.0,119
