algorithm,model,baseline_strategy,metric,llm_mean,baseline_mean,baseline_ci95_low,baseline_ci95_high,mean_delta,mean_k,row_count,llm_row_count
algo1,deepseek-chat-v3.1,random-k,accuracy,0.9181020650860767,1.0,1.0,1.0,-0.08189793491392328,576.3333333333334,2400,160
algo1,deepseek-chat-v3.1,random-k,precision,0.28469760700435043,1.0,1.0,1.0,-0.7153023929956497,576.3333333333334,2400,160
algo1,deepseek-chat-v3.1,random-k,recall,0.06913720293236346,1.0,1.0,1.0,-0.9308627970676366,576.3333333333334,2400,160
algo1,deepseek-chat-v3.1,wordnet-ontology-match,accuracy,0.9181020650860767,1.0,1.0,1.0,-0.08189793491392328,576.3333333333334,480,160
algo1,deepseek-chat-v3.1,wordnet-ontology-match,precision,0.28469760700435043,1.0,1.0,1.0,-0.7153023929956496,576.3333333333334,480,160
algo1,deepseek-chat-v3.1,wordnet-ontology-match,recall,0.06913720293236346,1.0,1.0,1.0,-0.9308627970676365,576.3333333333334,480,160
algo1,deepseek-v3-chat-0324,random-k,accuracy,0.9140192414174972,1.0,1.0,1.0,-0.08598075858250276,610.5416666666666,2400,160
algo1,deepseek-v3-chat-0324,random-k,precision,0.26017500394914495,1.0,1.0,1.0,-0.739824996050855,610.5416666666666,2400,160
algo1,deepseek-v3-chat-0324,random-k,recall,0.10584267566732995,1.0,1.0,1.0,-0.8941573243326701,610.5416666666666,2400,160
algo1,deepseek-v3-chat-0324,wordnet-ontology-match,accuracy,0.9140192414174972,1.0,1.0,1.0,-0.08598075858250276,610.5416666666666,480,160
algo1,deepseek-v3-chat-0324,wordnet-ontology-match,precision,0.26017500394914495,1.0,1.0,1.0,-0.739824996050855,610.5416666666666,480,160
algo1,deepseek-v3-chat-0324,wordnet-ontology-match,recall,0.10584267566732994,1.0,1.0,1.0,-0.8941573243326701,610.5416666666666,480,160
algo1,gemini-2.0-flash-exp,random-k,accuracy,0.8766153541226216,0.9583333333333334,0.9503369496617904,0.9663297170048764,-0.08171797921071176,472.62916666666666,2400,160
algo1,gemini-2.0-flash-exp,random-k,precision,0.2609019002272186,0.9583333333333334,0.9503369496617904,0.9663297170048764,-0.6974314331061147,472.62916666666666,2400,160
algo1,gemini-2.0-flash-exp,random-k,recall,0.07961119593311829,0.9583333333333334,0.9503369496617904,0.9663297170048764,-0.8787221374002151,472.62916666666666,2400,160
algo1,gemini-2.0-flash-exp,wordnet-ontology-match,accuracy,0.8766153541226216,0.9583333333333334,0.9404379506103477,0.976228716056319,-0.08171797921071176,472.62916666666666,480,160
algo1,gemini-2.0-flash-exp,wordnet-ontology-match,precision,0.26090190022721865,0.9583333333333334,0.9404379506103477,0.976228716056319,-0.6974314331061147,472.62916666666666,480,160
algo1,gemini-2.0-flash-exp,wordnet-ontology-match,recall,0.07961119593311829,0.9583333333333334,0.9404379506103477,0.976228716056319,-0.8787221374002151,472.62916666666666,480,160
algo1,gemini-2.5-pro,random-k,accuracy,0.9248637747911003,1.0,1.0,1.0,-0.07513622520889962,547.1041666666666,2400,160
algo1,gemini-2.5-pro,random-k,precision,0.40419837685462684,1.0,1.0,1.0,-0.5958016231453732,547.1041666666666,2400,160
algo1,gemini-2.5-pro,random-k,recall,0.09313349173128384,1.0,1.0,1.0,-0.9068665082687162,547.1041666666666,2400,160
algo1,gemini-2.5-pro,wordnet-ontology-match,accuracy,0.9248637747911004,1.0,1.0,1.0,-0.07513622520889962,547.1041666666666,480,160
algo1,gemini-2.5-pro,wordnet-ontology-match,precision,0.40419837685462684,1.0,1.0,1.0,-0.5958016231453732,547.1041666666666,480,160
algo1,gemini-2.5-pro,wordnet-ontology-match,recall,0.09313349173128382,1.0,1.0,1.0,-0.9068665082687162,547.1041666666666,480,160
algo1,gpt-5,random-k,accuracy,0.9065040458572434,1.0,1.0,1.0,-0.09349595414275647,618.6666666666666,2400,160
algo1,gpt-5,random-k,precision,0.32342581992417035,1.0,1.0,1.0,-0.6765741800758297,618.6666666666666,2400,160
algo1,gpt-5,random-k,recall,0.23888623224456182,1.0,1.0,1.0,-0.7611137677554382,618.6666666666666,2400,160
algo1,gpt-5,wordnet-ontology-match,accuracy,0.9065040458572435,1.0,1.0,1.0,-0.09349595414275647,618.6666666666666,480,160
algo1,gpt-5,wordnet-ontology-match,precision,0.32342581992417035,1.0,1.0,1.0,-0.6765741800758297,618.6666666666666,480,160
algo1,gpt-5,wordnet-ontology-match,recall,0.23888623224456182,1.0,1.0,1.0,-0.7611137677554382,618.6666666666666,480,160
algo1,openai-gpt-4o,random-k,accuracy,0.9233665559246954,1.0,1.0,1.0,-0.07663344407530454,520.4791666666666,2400,160
algo1,openai-gpt-4o,random-k,precision,0.35452464032427267,1.0,1.0,1.0,-0.6454753596757273,520.4791666666666,2400,160
algo1,openai-gpt-4o,random-k,recall,0.07104837856538343,1.0,1.0,1.0,-0.9289516214346165,520.4791666666666,2400,160
algo1,openai-gpt-4o,wordnet-ontology-match,accuracy,0.9233665559246955,1.0,1.0,1.0,-0.07663344407530454,520.4791666666666,480,160
algo1,openai-gpt-4o,wordnet-ontology-match,precision,0.35452464032427267,1.0,1.0,1.0,-0.6454753596757273,520.4791666666666,480,160
algo1,openai-gpt-4o,wordnet-ontology-match,recall,0.07104837856538343,1.0,1.0,1.0,-0.9289516214346166,520.4791666666666,480,160
