algorithm,model,baseline_strategy,metric,llm_mean,baseline_mean,baseline_ci95_low,baseline_ci95_high,mean_delta,mean_k,row_count,llm_row_count
algo3,deepseek-chat-v3.1,random-k,recall,0.0577651541666666,0.075,0.0600910184303934,0.0899089815696065,-0.0172348458333333,38.87916666666667,1200,240
algo3,deepseek-chat-v3.1,wordnet-ontology-match,recall,0.0577651541666666,0.075,0.0416067553746138,0.1083932446253861,-0.0172348458333333,38.87916666666667,240,240
algo3,deepseek-v3-chat-0324,random-k,recall,0.0073863625,0.0083333333333333,0.0031877014412067,0.0134789652254599,-0.0009469708333333,3.5,1200,240
algo3,deepseek-v3-chat-0324,wordnet-ontology-match,recall,0.0073863625,0.0083333333333333,-0.003191890151835,0.0198585568185017,-0.0009469708333333,3.5,240,240
algo3,gemini-2.0-flash-exp,random-k,recall,0.0566287958333333,0.1083333333333333,0.0907407831412978,0.1259258835253688,-0.0517045375,46.40416666666667,1200,240
algo3,gemini-2.0-flash-exp,wordnet-ontology-match,recall,0.0566287958333333,0.1083333333333333,0.0689294123207374,0.1477372543459292,-0.0517045375,46.40416666666667,240,240
algo3,google-gemini-2.5-pro,random-k,recall,0.0303030333333333,0.05,0.0376634624604231,0.0623365375395768,-0.0196969666666666,20.483333333333334,1200,240
algo3,google-gemini-2.5-pro,wordnet-ontology-match,recall,0.0303030333333333,0.05,0.0223685340969794,0.0776314659030206,-0.0196969666666666,20.483333333333334,240,240
algo3,gpt-5,random-k,recall,0.0,0.0,0.0,0.0,0.0,0.0,1200,240
algo3,gpt-5,wordnet-ontology-match,recall,0.0,0.0,0.0,0.0,0.0,0.0,240,240
algo3,openai-gpt-4o,random-k,recall,0.0865530291666666,0.0875,0.0715056372003194,0.1034943627996805,-0.0009469708333333,49.93333333333333,1200,240
algo3,openai-gpt-4o,wordnet-ontology-match,recall,0.0865530291666666,0.0875,0.0516757106544599,0.1233242893455399,-0.0009469708333333,49.93333333333333,240,240
