algorithm,model,metric,n,mean,sample_std,ci95_low,ci95_high,median,q1,q3,min,max
algo1,deepseek-chat-v3.1,accuracy,160,0.915077,0.010651,0.913414,0.91674,0.918831,0.909091,0.922078,0.87987,0.928571
algo1,deepseek-chat-v3.1,precision,160,0.179253,0.093188,0.164703,0.193803,0.166667,0.111111,0.25,0.0,0.333333
algo1,deepseek-chat-v3.1,recall,160,0.103618,0.059739,0.094291,0.112946,0.105263,0.052632,0.105263,0.0,0.263158
algo1,deepseek-chat-v3.1,accuracy,160,0.89836,0.004417,0.89767,0.899049,0.898671,0.895349,0.901993,0.890365,0.908638
algo1,deepseek-chat-v3.1,precision,160,0.382739,0.139858,0.360902,0.404576,0.375,0.25,0.5,0.111111,0.75
algo1,deepseek-chat-v3.1,recall,160,0.059322,0.024785,0.055452,0.063192,0.050847,0.033898,0.084746,0.016949,0.101695
algo1,deepseek-chat-v3.1,accuracy,160,0.940869,0.003057,0.940392,0.941347,0.94186,0.938689,0.942918,0.934461,0.947146
algo1,deepseek-chat-v3.1,precision,160,0.292101,0.17038,0.265499,0.318704,0.285714,0.2,0.333333,0.0,1.0
algo1,deepseek-chat-v3.1,recall,160,0.044471,0.02871,0.039988,0.048954,0.038462,0.019231,0.057692,0.0,0.134615
algo1,deepseek-v3-chat-0324,accuracy,160,0.912541,0.011542,0.910738,0.914343,0.912338,0.905844,0.922078,0.886364,0.931818
algo1,deepseek-v3-chat-0324,precision,160,0.232858,0.077834,0.220705,0.24501,0.214286,0.166667,0.25,0.117647,0.428571
algo1,deepseek-v3-chat-0324,recall,160,0.179276,0.074502,0.167644,0.190909,0.157895,0.157895,0.210526,0.052632,0.368421
algo1,deepseek-v3-chat-0324,accuracy,160,0.892182,0.008231,0.890897,0.893467,0.893688,0.885382,0.89701,0.863787,0.903654
algo1,deepseek-v3-chat-0324,precision,160,0.293393,0.140174,0.271507,0.31528,0.285714,0.176471,0.384615,0.071429,0.545455
algo1,deepseek-v3-chat-0324,recall,160,0.066737,0.052909,0.058476,0.074998,0.050847,0.033898,0.084746,0.016949,0.254237
algo1,deepseek-v3-chat-0324,accuracy,160,0.937335,0.004832,0.93658,0.938089,0.938689,0.933404,0.939746,0.928118,0.945032
algo1,deepseek-v3-chat-0324,precision,160,0.254274,0.127664,0.234341,0.274207,0.272727,0.157895,0.318182,0.0,0.5
algo1,deepseek-v3-chat-0324,recall,160,0.071514,0.057719,0.062502,0.080527,0.057692,0.038462,0.096154,0.0,0.307692
algo1,gemini-2.0-flash-exp,accuracy,160,0.916863,0.012782,0.914867,0.918859,0.915584,0.909091,0.925325,0.886364,0.941558
algo1,gemini-2.0-flash-exp,precision,160,0.198375,0.127074,0.178534,0.218216,0.2,0.111111,0.25,0.0,0.571429
algo1,gemini-2.0-flash-exp,recall,160,0.104605,0.065196,0.094426,0.114785,0.105263,0.052632,0.157895,0.0,0.263158
algo1,gemini-2.0-flash-exp,accuracy,160,0.89021,0.011457,0.888421,0.891999,0.893688,0.88206,0.900332,0.86711,0.910299
algo1,gemini-2.0-flash-exp,precision,160,0.345114,0.15933,0.320236,0.369991,0.333333,0.227273,0.428571,0.071429,0.727273
algo1,gemini-2.0-flash-exp,recall,160,0.092161,0.048453,0.084596,0.099726,0.084746,0.050847,0.101695,0.016949,0.254237
algo1,gemini-2.0-flash-exp,accuracy,160,0.822774,0.311982,0.774062,0.871485,0.940803,0.933404,0.942918,0.0,0.946089
algo1,gemini-2.0-flash-exp,precision,160,0.239217,0.180729,0.210998,0.267435,0.25,0.0,0.375,0.0,0.571429
algo1,gemini-2.0-flash-exp,recall,160,0.042067,0.036868,0.036311,0.047824,0.038462,0.0,0.057692,0.0,0.134615
algo1,gemini-2.5-pro,accuracy,160,0.933442,0.006254,0.932465,0.934418,0.935065,0.928571,0.938312,0.922078,0.948052
algo1,gemini-2.5-pro,precision,160,0.415057,0.120163,0.396295,0.433819,0.4,0.307692,0.5,0.222222,0.666667
algo1,gemini-2.5-pro,recall,160,0.161184,0.057439,0.152216,0.170153,0.157895,0.105263,0.210526,0.105263,0.315789
algo1,gemini-2.5-pro,accuracy,160,0.897373,0.003403,0.896842,0.897905,0.898671,0.893688,0.900332,0.890365,0.903654
algo1,gemini-2.5-pro,precision,160,0.364311,0.097364,0.349109,0.379513,0.375,0.272727,0.428571,0.125,0.571429
algo1,gemini-2.5-pro,recall,160,0.059322,0.018528,0.056429,0.062215,0.067797,0.050847,0.067797,0.016949,0.101695
algo1,gemini-2.5-pro,accuracy,160,0.943776,0.002773,0.943343,0.944209,0.943975,0.94186,0.945032,0.937632,0.94926
algo1,gemini-2.5-pro,precision,160,0.433227,0.170033,0.406679,0.459776,0.4,0.3,0.5,0.142857,0.833333
algo1,gemini-2.5-pro,recall,160,0.058894,0.026388,0.054774,0.063014,0.057692,0.038462,0.076923,0.019231,0.134615
algo1,gpt-5,accuracy,160,0.896205,0.018824,0.893266,0.899145,0.899351,0.88961,0.909091,0.840909,0.922078
algo1,gpt-5,precision,160,0.261146,0.066129,0.250821,0.271471,0.263158,0.210526,0.315789,0.12,0.36
algo1,gpt-5,recall,160,0.363487,0.124072,0.344115,0.382859,0.368421,0.263158,0.421053,0.105263,0.631579
algo1,gpt-5,accuracy,160,0.889639,0.010579,0.887987,0.891291,0.892027,0.885382,0.895349,0.858804,0.908638
algo1,gpt-5,precision,160,0.383955,0.083762,0.370876,0.397033,0.375,0.333333,0.416667,0.229167,0.666667
algo1,gpt-5,recall,160,0.171081,0.03105,0.166233,0.175928,0.169492,0.152542,0.186441,0.084746,0.220339
algo1,gpt-5,accuracy,160,0.933668,0.005058,0.932878,0.934458,0.934461,0.929175,0.936575,0.922833,0.942918
algo1,gpt-5,precision,160,0.325177,0.047946,0.31769,0.332663,0.321429,0.291667,0.35,0.241379,0.4375
