source_input,Example,metric,n,mean,sample_std,median,min,max,ci95_low,ci95_high
data/results/algo2/deepseek-chat-v3-0324/evaluated/metrics_sg1_sg2.csv,-1,accuracy,160,0.9300933441558442,0.009529853790373187,0.9318181818181818,0.9025974025974026,0.948051948051948,0.9286166780122918,0.9315700102993967
data/results/algo2/deepseek-chat-v3-0324/evaluated/metrics_sg1_sg2.csv,1,accuracy,160,0.9385146103896103,0.006459597611641407,0.9415584415584416,0.9253246753246752,0.9512987012987012,0.9375136853697827,0.9395155354094378
data/results/algo2/deepseek-chat-v3-0324/evaluated/metrics_sg1_sg2.csv,-1,precision,160,0.4092213111321083,0.145644316594607,0.3888888888888889,0.2,0.8,0.3866534904659251,0.4317891317982915
data/results/algo2/deepseek-chat-v3-0324/evaluated/metrics_sg1_sg2.csv,1,precision,160,0.5100531413031413,0.13449048764518912,0.5555555555555556,0.2,0.75,0.48921362433845017,0.5308926582678324
data/results/algo2/deepseek-chat-v3-0324/evaluated/metrics_sg1_sg2.csv,-1,recall,160,0.21381578947368415,0.09603500221379165,0.2105263157894736,0.0526315789473684,0.3684210526315789,0.19893501171103434,0.22869656723633397
data/results/algo2/deepseek-chat-v3-0324/evaluated/metrics_sg1_sg2.csv,1,recall,160,0.21052631578947362,0.06466264387725804,0.2105263157894736,0.0526315789473684,0.3157894736842105,0.20050673531463026,0.22054589626431698
data/results/algo2/deepseek-chat-v3-0324/evaluated/metrics_sg2_sg3.csv,-1,accuracy,160,0.8962832225913621,0.00610746579202933,0.8986710963455149,0.8787375415282392,0.903654485049834,0.8953368609622776,0.8972295842204465
data/results/algo2/deepseek-chat-v3-0324/evaluated/metrics_sg2_sg3.csv,1,accuracy,160,0.8919746677740864,0.005658283993205943,0.8928571428571428,0.8704318936877077,0.8986710963455149,0.8910979075858229,0.89285142796235
data/results/algo2/deepseek-chat-v3-0324/evaluated/metrics_sg2_sg3.csv,-1,precision,160,0.39471270583902457,0.07668080173719832,0.3846153846153846,0.25,0.5555555555555556,0.38283089251045477,0.40659451916759437
data/results/algo2/deepseek-chat-v3-0324/evaluated/metrics_sg2_sg3.csv,1,precision,160,0.2501841040903541,0.10120692761914002,0.2361111111111111,0.0769230769230769,0.4166666666666667,0.23450192818340412,0.265866279997304
data/results/algo2/deepseek-chat-v3-0324/evaluated/metrics_sg2_sg3.csv,-1,recall,160,0.08845338983050845,0.029058128885572045,0.0847457627118644,0.0508474576271186,0.135593220338983,0.08395078611127268,0.09295599354974421
data/results/algo2/deepseek-chat-v3-0324/evaluated/metrics_sg2_sg3.csv,1,recall,160,0.05773305084745758,0.03915609203243822,0.0508474576271186,0.0169491525423728,0.1694915254237288,0.05166575152786743,0.06380035016704773
data/results/algo2/deepseek-chat-v3-0324/evaluated/metrics_sg3_sg1.csv,-1,accuracy,160,0.9039376321353065,0.056834664935032746,0.9133192389006344,0.6120507399577167,0.9439746300211416,0.8951310095641933,0.9127442547064197
data/results/algo2/deepseek-chat-v3-0324/evaluated/metrics_sg3_sg1.csv,1,accuracy,160,0.9161271141649049,0.0518544751426006,0.9386892177589852,0.7019027484143763,0.9534883720930232,0.9080921799970679,0.9241620483327418
data/results/algo2/deepseek-chat-v3-0324/evaluated/metrics_sg3_sg1.csv,-1,precision,160,0.20526457355294556,0.13245750761852565,0.1384225352112676,0.0588235294117647,0.4615384615384615,0.18474007010702687,0.22578907699886425
data/results/algo2/deepseek-chat-v3-0324/evaluated/metrics_sg3_sg1.csv,1,precision,160,0.34628677805674474,0.16106358775681937,0.3625,0.1088435374149659,0.6538461538461539,0.3213297165706767,0.37124383954281276
data/results/algo2/deepseek-chat-v3-0324/evaluated/metrics_sg3_sg1.csv,-1,recall,160,0.18389423076923073,0.1288629862135877,0.18269230769230765,0.0384615384615384,0.5961538461538461,0.16392670418546584,0.2038617573529956
data/results/algo2/deepseek-chat-v3-0324/evaluated/metrics_sg3_sg1.csv,1,recall,160,0.18389423076923073,0.13145412969572223,0.12499999999999994,0.0576923076923076,0.6153846153846154,0.16352520234322143,0.20426325919524002
data/results/algo2/deepseek-chat-v3.1/evaluated/metrics_sg1_sg2.csv,-1,accuracy,160,0.9276582792207793,0.009184445718343813,0.9285714285714286,0.8896103896103896,0.9415584415584416,0.926235134612488,0.9290814238290706
data/results/algo2/deepseek-chat-v3.1/evaluated/metrics_sg1_sg2.csv,1,accuracy,160,0.935064935064935,0.006147352954816024,0.9334415584415584,0.9253246753246752,0.9448051948051948,0.9341123928559439,0.9360174772739261
data/results/algo2/deepseek-chat-v3.1/evaluated/metrics_sg1_sg2.csv,-1,precision,160,0.36259293542401755,0.0890576502525028,0.3636363636363636,0.1739130434782608,0.5454545454545454,0.3487933095488492,0.3763925612991859
data/results/algo2/deepseek-chat-v3.1/evaluated/metrics_sg1_sg2.csv,1,precision,160,0.4707970134440722,0.1220665765267306,0.43303571428571425,0.25,0.75,0.45188260145189024,0.4897114254362542
data/results/algo2/deepseek-chat-v3.1/evaluated/metrics_sg1_sg2.csv,-1,recall,160,0.21546052631578944,0.06379379613983452,0.2105263157894736,0.1052631578947368,0.3684210526315789,0.20557557519266303,0.22534547743891584
data/results/algo2/deepseek-chat-v3.1/evaluated/metrics_sg1_sg2.csv,1,recall,160,0.2286184210526315,0.07302558889213007,0.2105263157894736,0.1052631578947368,0.4210526315789473,0.21730298882229457,0.23993385328296843
data/results/algo2/deepseek-chat-v3.1/evaluated/metrics_sg2_sg3.csv,-1,accuracy,160,0.9005398671096346,0.0039245433214338335,0.9011627906976745,0.8870431893687708,0.9053156146179402,0.8999317528217197,0.9011479813975496
data/results/algo2/deepseek-chat-v3.1/evaluated/metrics_sg2_sg3.csv,1,accuracy,160,0.9001245847176079,0.002848365744782857,0.9003322259136213,0.8920265780730897,0.9053156146179402,0.8996832258728349,0.900565943562381
data/results/algo2/deepseek-chat-v3.1/evaluated/metrics_sg2_sg3.csv,-1,precision,160,0.3926737416457811,0.2121428421449772,0.4722222222222222,0.0,0.6666666666666666,0.3598018676922764,0.42554561559928583
data/results/algo2/deepseek-chat-v3.1/evaluated/metrics_sg2_sg3.csv,1,precision,160,0.3361888979076479,0.2179163439490428,0.35416666666666663,0.0,0.75,0.3024224105811222,0.3699553852341736
