algorithm,factor,summary_path,metric_overview_path,source_file_count
algo1,Explanation,data/analysis_artifacts/revision_tracker/statistical_reporting/algo1/explanation/grouped_metric_summary.csv,data/analysis_artifacts/revision_tracker/statistical_reporting/algo1/explanation/metric_overview.csv,18
algo1,Example,data/analysis_artifacts/revision_tracker/statistical_reporting/algo1/example/grouped_metric_summary.csv,data/analysis_artifacts/revision_tracker/statistical_reporting/algo1/example/metric_overview.csv,18
algo1,Counterexample,data/analysis_artifacts/revision_tracker/statistical_reporting/algo1/counterexample/grouped_metric_summary.csv,data/analysis_artifacts/revision_tracker/statistical_reporting/algo1/counterexample/metric_overview.csv,18
algo1,Array/List(1/-1),data/analysis_artifacts/revision_tracker/statistical_reporting/algo1/array_list1_1/grouped_metric_summary.csv,data/analysis_artifacts/revision_tracker/statistical_reporting/algo1/array_list1_1/metric_overview.csv,18
algo1,Tag/Adjacency(1/-1),data/analysis_artifacts/revision_tracker/statistical_reporting/algo1/tag_adjacency1_1/grouped_metric_summary.csv,data/analysis_artifacts/revision_tracker/statistical_reporting/algo1/tag_adjacency1_1/metric_overview.csv,18
algo2,Explanation,data/analysis_artifacts/revision_tracker/statistical_reporting/algo2/explanation/grouped_metric_summary.csv,data/analysis_artifacts/revision_tracker/statistical_reporting/algo2/explanation/metric_overview.csv,18
algo2,Example,data/analysis_artifacts/revision_tracker/statistical_reporting/algo2/example/grouped_metric_summary.csv,data/analysis_artifacts/revision_tracker/statistical_reporting/algo2/example/metric_overview.csv,18
algo2,Counterexample,data/analysis_artifacts/revision_tracker/statistical_reporting/algo2/counterexample/grouped_metric_summary.csv,data/analysis_artifacts/revision_tracker/statistical_reporting/algo2/counterexample/metric_overview.csv,18
algo2,Array/List(1/-1),data/analysis_artifacts/revision_tracker/statistical_reporting/algo2/array_list1_1/grouped_metric_summary.csv,data/analysis_artifacts/revision_tracker/statistical_reporting/algo2/array_list1_1/metric_overview.csv,18
algo2,Tag/Adjacency(1/-1),data/analysis_artifacts/revision_tracker/statistical_reporting/algo2/tag_adjacency1_1/grouped_metric_summary.csv,data/analysis_artifacts/revision_tracker/statistical_reporting/algo2/tag_adjacency1_1/metric_overview.csv,18
algo2,Convergence,data/analysis_artifacts/revision_tracker/statistical_reporting/algo2/convergence/grouped_metric_summary.csv,data/analysis_artifacts/revision_tracker/statistical_reporting/algo2/convergence/metric_overview.csv,18
algo3,Depth,data/analysis_artifacts/revision_tracker/statistical_reporting/algo3/depth/grouped_metric_summary.csv,data/analysis_artifacts/revision_tracker/statistical_reporting/algo3/depth/metric_overview.csv,6
algo3,Number of Words,data/analysis_artifacts/revision_tracker/statistical_reporting/algo3/number_of_words/grouped_metric_summary.csv,data/analysis_artifacts/revision_tracker/statistical_reporting/algo3/number_of_words/metric_overview.csv,6
algo3,Example,data/analysis_artifacts/revision_tracker/statistical_reporting/algo3/example/grouped_metric_summary.csv,data/analysis_artifacts/revision_tracker/statistical_reporting/algo3/example/metric_overview.csv,6
algo3,Counter-Example,data/analysis_artifacts/revision_tracker/statistical_reporting/algo3/counter_example/grouped_metric_summary.csv,data/analysis_artifacts/revision_tracker/statistical_reporting/algo3/counter_example/metric_overview.csv,6
