Unhealthy weight control practices,Weight
Prevalence of green fields,Environment
Dyslipidemia,Physiology
Pressure to be thin,Social
Socio-economic status,Social
Blood saturated fatty acid level,Physiology
Marketing ratio of unhealthy to healthy foods,Production
Blood pressure,Physiology
Obesity,Weight
Marketing of healthy foods,Production
Ability to engage in physical activity,Physiology
Consumer demand for regulations,Production
Presence of a vibrant community,Environment
Economic incentives to produce unhealthy food products,Production
Cells intake of fatty acids,Physiology
Release of adipokines,Physiology
Physical well-being,Well-being
Asthma,Disease
Auto-inflammatory diseases,Disease
Adipose storage of fatty acids,Physiology
Emotional eating,Consumption
Asthma-like symptoms,Disease
Respiratory diseases,Disease
Unhealthy foods are cheaper than healthy ones,Production
Access to health professionals,Environment
Culture of eating that promotes healthy choices,Social
Dysfunctional adipose tissue,Physiology
Short sleep duration,Physiology
Prevalence of bike trails,Environment
Late night TV watching,Social
Dyspnea,Physiology
Tiredness,Physiology
Musculoskeletal pain,Disease
Aesthetics,Environment
Fatty acids in the artery walls,Physiology
Blood mono-unsaturated fatty acid level,Physiology
Gastro-esophageal reflux disease,Disease
Eating disorders,Consumption
Inflammation,Physiology
Concentration,Physiology
Recreational physical activity,PhysicalActivity
Mental well-being,Well-being
Secretion of inflammatory molecules by adipose cells,Physiology
Anticonvulsants,Physiology
Prevalence of walking trails,Environment
Cultural norms around thinness,Social
Healthy eating,Consumption
Physical activity,PhysicalActivity
Sodium intake,Physiology
Available time,Social
Sexual difficulties,Disease
Physical pain,Disease
Weight bias,Social
Cortisol,Physiology
Beta blockers,Physiology
Exercise,PhysicalActivity
Public health messaging around thinness,Social
Medications,Physiology
Accessibility to shops,Environment
Poor body image,Psychology
Availability of healthy foods,Environment
Marketing of unhealthy foods,Production
Coronary heart diseases,Disease
Blood fatty acid level,Physiology
Resilience,Social
Antipsychotics,Physiology
Airway resistance,Physiology
Cardiovascular diseases,Disease
Balance,Physiology
Sidewalk prevalence and maintenance,Environment
Blood glucose level,Physiology
Utilitarian physical activity ,PhysicalActivity
Positive experience of sports,PhysicalActivity
Obstructive sleep apnea,Disease
Control,Psychology
Public support and demand for healthy products,Production
Stimulants,Physiology
Thoracic and abdominal obesity,Weight
Quality of the sport infrastructure,Environment
Perceived environmental safety,Environment
Atherosclerosis,Physiology
Respiratory muscle fatigue,Disease
Sodium retention,Physiology
Fear of engaging in physical activity,PhysicalActivity
Cost of unhealthy foods,Production
Restrictive covenants,Environment
Appetite,Consumption
Coordination,Physiology
Supportive food environment,Environment
Depression,Psychology
Stress,Psychology
Heart rate,Physiology
Unhealthy foods are more available than healthy ones,Environment
Chronic conditions,Disease
Cost of healthy foods,Production
Medical perspective that thin is good,Social
Pro-inflammatory cytokines,Physiology
Insulin resistance,Disease
