Poverty,1
ACEs,1
Traumatic experience of the ACE,2
Cumulative trauma,2
Racism and forms of systemic oppression,1
Societal risk factors,1
Under-resourced communities,1
Brain development problems,1
Parental incarceration,1
Parental risk factors,3
Parental stress,2
Witnessing community violence,1
Exposure to violence,1
Peer victimization,1
Single or unemployed parent,3
Stresses in the current household living situation,3
Household income,3
Income/person supported in the household,3
Protective factors,2
Number of children in home,3
Housing or economy instability/insecurity,3
Sexism,1
Income inequality,1
Parents' ACEs as children,3
Epi-genetic & behavioral modeling effects on parents,3
Family resource centers and community services,1
Parental perpetration of ACE,2
Epi-genetic effects on parents,2
Positive parenting practices,2
Economic support for families,2
Parental paid leave,2
Availability of childcare,2
"Affordable housing, childcare, and education",2
Income tax credit,2
Childcare subsidies,2
Mental health problems,1
Treatment of mental health issues,1
Substance use,1
Suicide ideation,1
Child risk factors,1
Disabilities,1
Physical disability,1
Mental disability,1
Parents having attempted suicide,3
Parents having suicide risks,3
Parental mental health issues,3
Undiagnosed parental mental health issue,3
Untreated parental mental health issue,3
Treatment of parental mental health issue,3
Hope of a positive outcome,1
Parental substance use,3
Access to mental health care,3
Health insurance,3
Stigma of mental health treatment,3
Help-seeking behaviors,3
Living in a home with intimate partner violence,1
Separation from parents,1
Death of parents,1
Child welfare intervention,1
Parental warmth,2
"Safe, stable, nurturing environments and relationships",2
Supportive adults outside the home,2
Social support for parents,2
Two parents household,2
Healthy coping strategies for parents,2
Healthy coping strategies,2
Societal empathy and compassion for others,1
Engaging in externalizing behaviors,2
Over-reactive and hyper-sensitive to feedback,2
Severity,2
Chronicity,2
Age of onset,2
Frequency,2
Physical traces of the ACE,2
Hospitalization needed for the ACE,2
Shaming ACE,2
Fearful of telling about the ACE,2
Others knew and didn't intervene,2
Getting labeled at school,2
Disruptive behaviors,1
Engaging in conflicts,1
Harsh discipline,1
Co-morbidities,1
Knowing where and how to get help,3
Stigma of asking for help,3
Advantaged group,1
Knowing a peer who got help,1
Time necessary to go to facility,3
Childcare at the facility,3
Eating at the facility,3
