Victimization of children,1
ACEs,2
(Unhealthy) coping strategies,2
Suicide attempt,2
Mental illness,1
Suicide ideation,2
Physiological response,2
Trauma history,2
Criminal justice involvement,2
Chronic illnesses,2
Individual-level traits,1
Population-level inequities,3
Household dysfunction,3
Delinquency,1
Impulsivity,1
Risk-taking behavior,1
Substance use,2
Depression,1
Anxiety,1
Unhealthy behaviors,1
Negative mentoring,1
Forms of discrimination,2
Exposure to violence,2
Gender-based violence,2
Neighborhood violence,2
Substance use of parents,3
Stigma on mental health,3
Caregivers' needs are unmet,3
Mental illness of parents,3
Single family parenting,3
Incarceration,3
Divorce,3
Policy of mass incarceration,3
African-American,3
Poverty,3
Concentration of disadvantage in a certain geographical area or target population,3
Differential access to support services to be healthy,3
Inequity in access to education,3
Inequity in access to opportunities,3
Structural policies that prevent a focus on mental health,3
Feeling about mental health,3
Problematic parental practices,3
Corporal punishment of children,3
Resiliency,2
Healthy mentoring,2
Self-harm,2
Ability to protect self,2
Buying drugs in places with exposure to violence,2
Financial well-being,2
Struggles in relationships,1
Opioids,2
Future perpretration of violence,2
Rural,2
