source_input,pair_name,Depth,Number of Words,Example,Counter-Example,n_outputs,unique_output_count,mean_edge_count,sample_std_edge_count,mean_pairwise_jaccard,min_pairwise_jaccard,exact_match_pair_rate,union_edge_count
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/results/hf-paper-batch-algo3-olmo-current/aggregated/algo3/allenai__Olmo-3-7B-Instruct/beam_num_beams_6/raw.csv,subgraph_1_to_subgraph_3,-1,-1,-1,-1,5,1,42.0,0.0,1.0,1.0,1.0,42
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/results/hf-paper-batch-algo3-olmo-current/aggregated/algo3/allenai__Olmo-3-7B-Instruct/beam_num_beams_6/raw.csv,subgraph_1_to_subgraph_3,-1,-1,-1,1,5,1,66.0,0.0,1.0,1.0,1.0,66
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/results/hf-paper-batch-algo3-olmo-current/aggregated/algo3/allenai__Olmo-3-7B-Instruct/beam_num_beams_6/raw.csv,subgraph_1_to_subgraph_3,-1,-1,1,-1,5,1,54.0,0.0,1.0,1.0,1.0,54
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/results/hf-paper-batch-algo3-olmo-current/aggregated/algo3/allenai__Olmo-3-7B-Instruct/beam_num_beams_6/raw.csv,subgraph_1_to_subgraph_3,-1,-1,1,1,5,1,36.0,0.0,1.0,1.0,1.0,36
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/results/hf-paper-batch-algo3-olmo-current/aggregated/algo3/allenai__Olmo-3-7B-Instruct/beam_num_beams_6/raw.csv,subgraph_1_to_subgraph_3,-1,1,-1,-1,5,1,70.0,0.0,1.0,1.0,1.0,70
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/results/hf-paper-batch-algo3-olmo-current/aggregated/algo3/allenai__Olmo-3-7B-Instruct/beam_num_beams_6/raw.csv,subgraph_1_to_subgraph_3,-1,1,-1,1,5,1,110.0,0.0,1.0,1.0,1.0,110
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/results/hf-paper-batch-algo3-olmo-current/aggregated/algo3/allenai__Olmo-3-7B-Instruct/beam_num_beams_6/raw.csv,subgraph_1_to_subgraph_3,-1,1,1,-1,5,1,110.0,0.0,1.0,1.0,1.0,110
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/results/hf-paper-batch-algo3-olmo-current/aggregated/algo3/allenai__Olmo-3-7B-Instruct/beam_num_beams_6/raw.csv,subgraph_1_to_subgraph_3,-1,1,1,1,5,1,100.0,0.0,1.0,1.0,1.0,100
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/results/hf-paper-batch-algo3-olmo-current/aggregated/algo3/allenai__Olmo-3-7B-Instruct/beam_num_beams_6/raw.csv,subgraph_1_to_subgraph_3,1,-1,-1,-1,5,1,150.0,0.0,1.0,1.0,1.0,150
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/results/hf-paper-batch-algo3-olmo-current/aggregated/algo3/allenai__Olmo-3-7B-Instruct/beam_num_beams_6/raw.csv,subgraph_1_to_subgraph_3,1,-1,-1,1,5,1,261.0,0.0,1.0,1.0,1.0,261
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/results/hf-paper-batch-algo3-olmo-current/aggregated/algo3/allenai__Olmo-3-7B-Instruct/beam_num_beams_6/raw.csv,subgraph_1_to_subgraph_3,1,-1,1,-1,5,1,207.0,0.0,1.0,1.0,1.0,207
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/results/hf-paper-batch-algo3-olmo-current/aggregated/algo3/allenai__Olmo-3-7B-Instruct/beam_num_beams_6/raw.csv,subgraph_1_to_subgraph_3,1,-1,1,1,5,1,135.0,0.0,1.0,1.0,1.0,135
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/results/hf-paper-batch-algo3-olmo-current/aggregated/algo3/allenai__Olmo-3-7B-Instruct/beam_num_beams_6/raw.csv,subgraph_1_to_subgraph_3,1,1,-1,1,5,1,650.0,0.0,1.0,1.0,1.0,650
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/results/hf-paper-batch-algo3-olmo-current/aggregated/algo3/allenai__Olmo-3-7B-Instruct/beam_num_beams_6/raw.csv,subgraph_1_to_subgraph_3,1,1,1,-1,5,1,650.0,0.0,1.0,1.0,1.0,650
