source_input,pair_name,Depth,Number of Words,Example,Counter-Example,metric,n,mean,sample_std,min,max,range_width,coefficient_of_variation,relative_half_width_target,z_score,precision_margin,required_total_runs,additional_runs_needed,requirement_status
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/results/hf-paper-batch-algo3-olmo-current/aggregated/algo3/allenai__Olmo-3-7B-Instruct/beam_num_beams_6/evaluated.csv,subgraph_1_to_subgraph_3,-1,-1,-1,-1,Recall,5,0.0,0.0,0.0,0.0,0.0,,0.1,1.645,0.0,5,0,satisfied_zero_mean
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/results/hf-paper-batch-algo3-olmo-current/aggregated/algo3/allenai__Olmo-3-7B-Instruct/beam_num_beams_6/evaluated.csv,subgraph_1_to_subgraph_3,-1,-1,-1,1,Recall,5,0.0,0.0,0.0,0.0,0.0,,0.1,1.645,0.0,5,0,satisfied_zero_mean
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/results/hf-paper-batch-algo3-olmo-current/aggregated/algo3/allenai__Olmo-3-7B-Instruct/beam_num_beams_6/evaluated.csv,subgraph_1_to_subgraph_3,-1,-1,1,-1,Recall,5,0.0,0.0,0.0,0.0,0.0,,0.1,1.645,0.0,5,0,satisfied_zero_mean
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/results/hf-paper-batch-algo3-olmo-current/aggregated/algo3/allenai__Olmo-3-7B-Instruct/beam_num_beams_6/evaluated.csv,subgraph_1_to_subgraph_3,-1,-1,1,1,Recall,5,0.0,0.0,0.0,0.0,0.0,,0.1,1.645,0.0,5,0,satisfied_zero_mean
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/results/hf-paper-batch-algo3-olmo-current/aggregated/algo3/allenai__Olmo-3-7B-Instruct/beam_num_beams_6/evaluated.csv,subgraph_1_to_subgraph_3,-1,1,-1,-1,Recall,5,0.0,0.0,0.0,0.0,0.0,,0.1,1.645,0.0,5,0,satisfied_zero_mean
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/results/hf-paper-batch-algo3-olmo-current/aggregated/algo3/allenai__Olmo-3-7B-Instruct/beam_num_beams_6/evaluated.csv,subgraph_1_to_subgraph_3,-1,1,-1,1,Recall,5,0.0,0.0,0.0,0.0,0.0,,0.1,1.645,0.0,5,0,satisfied_zero_mean
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/results/hf-paper-batch-algo3-olmo-current/aggregated/algo3/allenai__Olmo-3-7B-Instruct/beam_num_beams_6/evaluated.csv,subgraph_1_to_subgraph_3,-1,1,1,-1,Recall,5,0.0,0.0,0.0,0.0,0.0,,0.1,1.645,0.0,5,0,satisfied_zero_mean
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/results/hf-paper-batch-algo3-olmo-current/aggregated/algo3/allenai__Olmo-3-7B-Instruct/beam_num_beams_6/evaluated.csv,subgraph_1_to_subgraph_3,-1,1,1,1,Recall,5,0.0,0.0,0.0,0.0,0.0,,0.1,1.645,0.0,5,0,satisfied_zero_mean
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/results/hf-paper-batch-algo3-olmo-current/aggregated/algo3/allenai__Olmo-3-7B-Instruct/beam_num_beams_6/evaluated.csv,subgraph_1_to_subgraph_3,1,-1,-1,-1,Recall,5,0.0,0.0,0.0,0.0,0.0,,0.1,1.645,0.0,5,0,satisfied_zero_mean
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/results/hf-paper-batch-algo3-olmo-current/aggregated/algo3/allenai__Olmo-3-7B-Instruct/beam_num_beams_6/evaluated.csv,subgraph_1_to_subgraph_3,1,-1,-1,1,Recall,5,0.0,0.0,0.0,0.0,0.0,,0.1,1.645,0.0,5,0,satisfied_zero_mean
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/results/hf-paper-batch-algo3-olmo-current/aggregated/algo3/allenai__Olmo-3-7B-Instruct/beam_num_beams_6/evaluated.csv,subgraph_1_to_subgraph_3,1,-1,1,-1,Recall,5,0.0,0.0,0.0,0.0,0.0,,0.1,1.645,0.0,5,0,satisfied_zero_mean
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/results/hf-paper-batch-algo3-olmo-current/aggregated/algo3/allenai__Olmo-3-7B-Instruct/beam_num_beams_6/evaluated.csv,subgraph_1_to_subgraph_3,1,-1,1,1,Recall,5,0.0,0.0,0.0,0.0,0.0,,0.1,1.645,0.0,5,0,satisfied_zero_mean
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/results/hf-paper-batch-algo3-olmo-current/aggregated/algo3/allenai__Olmo-3-7B-Instruct/beam_num_beams_6/evaluated.csv,subgraph_1_to_subgraph_3,1,1,-1,1,Recall,5,0.772727,0.0,0.772727,0.772727,0.0,0.0,0.1,1.645,0.07727270000000001,5,0,satisfied
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/results/hf-paper-batch-algo3-olmo-current/aggregated/algo3/allenai__Olmo-3-7B-Instruct/beam_num_beams_6/evaluated.csv,subgraph_1_to_subgraph_3,1,1,1,-1,Recall,5,0.0,0.0,0.0,0.0,0.0,,0.1,1.645,0.0,5,0,satisfied_zero_mean
