source_input,pair_name,Depth,Number of Words,Example,Counter-Example,n_outputs,unique_output_count,mean_edge_count,sample_std_edge_count,mean_pairwise_jaccard,min_pairwise_jaccard,exact_match_pair_rate,union_edge_count
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/results/hf-paper-batch-algo3-olmo-current/aggregated/algo3/allenai__Olmo-3-7B-Instruct/contrastive_penalty_alpha_0.2/raw.csv,subgraph_1_to_subgraph_3,-1,-1,-1,-1,5,1,42.0,0.0,1.0,1.0,1.0,42
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/results/hf-paper-batch-algo3-olmo-current/aggregated/algo3/allenai__Olmo-3-7B-Instruct/contrastive_penalty_alpha_0.2/raw.csv,subgraph_1_to_subgraph_3,-1,-1,-1,1,5,1,66.0,0.0,1.0,1.0,1.0,66
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/results/hf-paper-batch-algo3-olmo-current/aggregated/algo3/allenai__Olmo-3-7B-Instruct/contrastive_penalty_alpha_0.2/raw.csv,subgraph_1_to_subgraph_3,-1,-1,1,-1,5,1,66.0,0.0,1.0,1.0,1.0,66
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/results/hf-paper-batch-algo3-olmo-current/aggregated/algo3/allenai__Olmo-3-7B-Instruct/contrastive_penalty_alpha_0.2/raw.csv,subgraph_1_to_subgraph_3,-1,-1,1,1,5,1,30.0,0.0,1.0,1.0,1.0,30
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/results/hf-paper-batch-algo3-olmo-current/aggregated/algo3/allenai__Olmo-3-7B-Instruct/contrastive_penalty_alpha_0.2/raw.csv,subgraph_1_to_subgraph_3,-1,1,-1,-1,5,1,70.0,0.0,1.0,1.0,1.0,70
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/results/hf-paper-batch-algo3-olmo-current/aggregated/algo3/allenai__Olmo-3-7B-Instruct/contrastive_penalty_alpha_0.2/raw.csv,subgraph_1_to_subgraph_3,-1,1,-1,1,5,1,110.0,0.0,1.0,1.0,1.0,110
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/results/hf-paper-batch-algo3-olmo-current/aggregated/algo3/allenai__Olmo-3-7B-Instruct/contrastive_penalty_alpha_0.2/raw.csv,subgraph_1_to_subgraph_3,-1,1,1,-1,5,1,100.0,0.0,1.0,1.0,1.0,100
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/results/hf-paper-batch-algo3-olmo-current/aggregated/algo3/allenai__Olmo-3-7B-Instruct/contrastive_penalty_alpha_0.2/raw.csv,subgraph_1_to_subgraph_3,-1,1,1,1,5,1,90.0,0.0,1.0,1.0,1.0,90
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/results/hf-paper-batch-algo3-olmo-current/aggregated/algo3/allenai__Olmo-3-7B-Instruct/contrastive_penalty_alpha_0.2/raw.csv,subgraph_1_to_subgraph_3,1,-1,-1,-1,5,1,160.0,0.0,1.0,1.0,1.0,160
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/results/hf-paper-batch-algo3-olmo-current/aggregated/algo3/allenai__Olmo-3-7B-Instruct/contrastive_penalty_alpha_0.2/raw.csv,subgraph_1_to_subgraph_3,1,-1,-1,1,5,1,255.0,0.0,1.0,1.0,1.0,255
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/results/hf-paper-batch-algo3-olmo-current/aggregated/algo3/allenai__Olmo-3-7B-Instruct/contrastive_penalty_alpha_0.2/raw.csv,subgraph_1_to_subgraph_3,1,-1,1,-1,5,1,261.0,0.0,1.0,1.0,1.0,261
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/results/hf-paper-batch-algo3-olmo-current/aggregated/algo3/allenai__Olmo-3-7B-Instruct/contrastive_penalty_alpha_0.2/raw.csv,subgraph_1_to_subgraph_3,1,-1,1,1,5,1,114.0,0.0,1.0,1.0,1.0,114
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/results/hf-paper-batch-algo3-olmo-current/aggregated/algo3/allenai__Olmo-3-7B-Instruct/contrastive_penalty_alpha_0.2/raw.csv,subgraph_1_to_subgraph_3,1,1,1,-1,5,1,580.0,0.0,1.0,1.0,1.0,580
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/results/hf-paper-batch-algo3-olmo-current/aggregated/algo3/allenai__Olmo-3-7B-Instruct/contrastive_penalty_alpha_0.2/raw.csv,subgraph_1_to_subgraph_3,1,1,1,1,4,1,530.0,0.0,1.0,1.0,1.0,530
