source_input,pair_name,Explanation,Example,Counterexample,Array/List(1/-1),Tag/Adjacency(1/-1),Convergence,n_outputs,unique_output_count,mean_edge_count,sample_std_edge_count,mean_pairwise_jaccard,min_pairwise_jaccard,exact_match_pair_rate,union_edge_count
/workspace/results/hf-paper-batch-algo2-qwen-current/aggregated/algo2/Qwen__Qwen3.5-9B/beam_num_beams_2/raw.csv,sg1_sg2,-1,-1,-1,-1,-1,-1,5,1,21.0,0.0,1.0,1.0,1.0,21
/workspace/results/hf-paper-batch-algo2-qwen-current/aggregated/algo2/Qwen__Qwen3.5-9B/beam_num_beams_2/raw.csv,sg1_sg2,-1,-1,-1,-1,-1,1,5,1,21.0,0.0,1.0,1.0,1.0,21
/workspace/results/hf-paper-batch-algo2-qwen-current/aggregated/algo2/Qwen__Qwen3.5-9B/beam_num_beams_2/raw.csv,sg1_sg2,-1,-1,-1,-1,1,-1,5,1,4.0,0.0,1.0,1.0,1.0,4
/workspace/results/hf-paper-batch-algo2-qwen-current/aggregated/algo2/Qwen__Qwen3.5-9B/beam_num_beams_2/raw.csv,sg1_sg2,-1,-1,-1,-1,1,1,5,1,4.0,0.0,1.0,1.0,1.0,4
/workspace/results/hf-paper-batch-algo2-qwen-current/aggregated/algo2/Qwen__Qwen3.5-9B/beam_num_beams_2/raw.csv,sg1_sg2,-1,-1,-1,1,-1,-1,5,1,11.0,0.0,1.0,1.0,1.0,11
/workspace/results/hf-paper-batch-algo2-qwen-current/aggregated/algo2/Qwen__Qwen3.5-9B/beam_num_beams_2/raw.csv,sg1_sg2,-1,-1,-1,1,-1,1,5,1,11.0,0.0,1.0,1.0,1.0,11
/workspace/results/hf-paper-batch-algo2-qwen-current/aggregated/algo2/Qwen__Qwen3.5-9B/beam_num_beams_2/raw.csv,sg1_sg2,-1,-1,-1,1,1,-1,5,1,11.0,0.0,1.0,1.0,1.0,11
/workspace/results/hf-paper-batch-algo2-qwen-current/aggregated/algo2/Qwen__Qwen3.5-9B/beam_num_beams_2/raw.csv,sg1_sg2,-1,-1,-1,1,1,1,5,1,11.0,0.0,1.0,1.0,1.0,11
/workspace/results/hf-paper-batch-algo2-qwen-current/aggregated/algo2/Qwen__Qwen3.5-9B/beam_num_beams_2/raw.csv,sg1_sg2,-1,-1,1,-1,-1,-1,5,1,6.0,0.0,1.0,1.0,1.0,6
/workspace/results/hf-paper-batch-algo2-qwen-current/aggregated/algo2/Qwen__Qwen3.5-9B/beam_num_beams_2/raw.csv,sg1_sg2,-1,-1,1,-1,-1,1,5,1,6.0,0.0,1.0,1.0,1.0,6
