source_input,pair_name,Depth,Number of Words,Example,Counter-Example,n_outputs,unique_output_count,mean_edge_count,sample_std_edge_count,mean_pairwise_jaccard,min_pairwise_jaccard,exact_match_pair_rate,union_edge_count
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/results/hf-paper-batch-algo3-qwen-current/aggregated/algo3/Qwen__Qwen3.5-9B/greedy/raw.csv,subgraph_1_to_subgraph_3,-1,-1,-1,-1,5,1,66.0,0.0,1.0,1.0,1.0,66
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/results/hf-paper-batch-algo3-qwen-current/aggregated/algo3/Qwen__Qwen3.5-9B/greedy/raw.csv,subgraph_1_to_subgraph_3,-1,-1,-1,1,5,1,66.0,0.0,1.0,1.0,1.0,66
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/results/hf-paper-batch-algo3-qwen-current/aggregated/algo3/Qwen__Qwen3.5-9B/greedy/raw.csv,subgraph_1_to_subgraph_3,-1,-1,1,-1,5,1,66.0,0.0,1.0,1.0,1.0,66
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/results/hf-paper-batch-algo3-qwen-current/aggregated/algo3/Qwen__Qwen3.5-9B/greedy/raw.csv,subgraph_1_to_subgraph_3,-1,-1,1,1,5,1,66.0,0.0,1.0,1.0,1.0,66
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/results/hf-paper-batch-algo3-qwen-current/aggregated/algo3/Qwen__Qwen3.5-9B/greedy/raw.csv,subgraph_1_to_subgraph_3,-1,1,-1,-1,5,1,110.0,0.0,1.0,1.0,1.0,110
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/results/hf-paper-batch-algo3-qwen-current/aggregated/algo3/Qwen__Qwen3.5-9B/greedy/raw.csv,subgraph_1_to_subgraph_3,-1,1,-1,1,5,1,110.0,0.0,1.0,1.0,1.0,110
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/results/hf-paper-batch-algo3-qwen-current/aggregated/algo3/Qwen__Qwen3.5-9B/greedy/raw.csv,subgraph_1_to_subgraph_3,-1,1,1,-1,5,1,110.0,0.0,1.0,1.0,1.0,110
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/results/hf-paper-batch-algo3-qwen-current/aggregated/algo3/Qwen__Qwen3.5-9B/greedy/raw.csv,subgraph_1_to_subgraph_3,-1,1,1,1,5,1,110.0,0.0,1.0,1.0,1.0,110
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/results/hf-paper-batch-algo3-qwen-current/aggregated/algo3/Qwen__Qwen3.5-9B/greedy/raw.csv,subgraph_1_to_subgraph_3,1,-1,-1,-1,5,1,261.0,0.0,1.0,1.0,1.0,261
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/results/hf-paper-batch-algo3-qwen-current/aggregated/algo3/Qwen__Qwen3.5-9B/greedy/raw.csv,subgraph_1_to_subgraph_3,1,-1,-1,1,5,1,258.0,0.0,1.0,1.0,1.0,258
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/results/hf-paper-batch-algo3-qwen-current/aggregated/algo3/Qwen__Qwen3.5-9B/greedy/raw.csv,subgraph_1_to_subgraph_3,1,-1,1,-1,5,1,264.0,0.0,1.0,1.0,1.0,264
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/results/hf-paper-batch-algo3-qwen-current/aggregated/algo3/Qwen__Qwen3.5-9B/greedy/raw.csv,subgraph_1_to_subgraph_3,1,-1,1,1,5,1,261.0,0.0,1.0,1.0,1.0,261
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/results/hf-paper-batch-algo3-qwen-current/aggregated/algo3/Qwen__Qwen3.5-9B/greedy/raw.csv,subgraph_1_to_subgraph_3,1,1,-1,1,5,1,640.0,0.0,1.0,1.0,1.0,640
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/results/hf-paper-batch-algo3-qwen-current/aggregated/algo3/Qwen__Qwen3.5-9B/greedy/raw.csv,subgraph_1_to_subgraph_3,1,1,1,-1,5,1,660.0,0.0,1.0,1.0,1.0,660
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/results/hf-paper-batch-algo3-qwen-current/aggregated/algo3/Qwen__Qwen3.5-9B/greedy/raw.csv,subgraph_1_to_subgraph_3,1,1,1,1,5,1,660.0,0.0,1.0,1.0,1.0,660
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/results/hf-paper-batch-algo3-qwen-current/aggregated/algo3/Qwen__Qwen3.5-9B/greedy/raw.csv,subgraph_2_to_subgraph_1,-1,-1,-1,-1,5,1,42.0,0.0,1.0,1.0,1.0,42
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/results/hf-paper-batch-algo3-qwen-current/aggregated/algo3/Qwen__Qwen3.5-9B/greedy/raw.csv,subgraph_2_to_subgraph_1,-1,-1,-1,1,5,1,42.0,0.0,1.0,1.0,1.0,42
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/results/hf-paper-batch-algo3-qwen-current/aggregated/algo3/Qwen__Qwen3.5-9B/greedy/raw.csv,subgraph_2_to_subgraph_1,-1,-1,1,-1,5,1,42.0,0.0,1.0,1.0,1.0,42
