algorithm,model,embedding_model,decoding_algorithm,condition_label,pair_name,condition_bits,replication,status,thinking_mode_supported,raw_row_path,result_edge_count,recall,avg_duration_seconds,avg_tokens_per_second,max_duration_seconds,max_tokens_per_second,response_trace_count,total_completion_tokens,total_prompt_tokens
algo3,Qwen/Qwen3.5-9B,Qwen/Qwen3-Embedding-0.6B,greedy,greedy,subgraph_1_to_subgraph_3,0,0,finished,True,/workspace/results/hf-paper-batch-algo3-qwen-current/runs/algo3/Qwen__Qwen3.5-9B/greedy/subgraph_1_to_subgraph_3/0000/rep_00/raw_row.json,66,0.0,2.6499544090909093,11.244551954545456,3.532142,13.542894,22,664,4752
algo3,Qwen/Qwen3.5-9B,Qwen/Qwen3-Embedding-0.6B,beam,beam_num_beams_2,subgraph_1_to_subgraph_3,0,0,finished,True,/workspace/results/hf-paper-batch-algo3-qwen-current/runs/algo3/Qwen__Qwen3.5-9B/beam_num_beams_2/subgraph_1_to_subgraph_3/0000/rep_00/raw_row.json,66,0.0,2.6816874090909093,11.394309636363635,3.431122,13.698144,22,681,4752
algo3,Qwen/Qwen3.5-9B,Qwen/Qwen3-Embedding-0.6B,beam,beam_num_beams_6,subgraph_1_to_subgraph_3,0,0,finished,True,/workspace/results/hf-paper-batch-algo3-qwen-current/runs/algo3/Qwen__Qwen3.5-9B/beam_num_beams_6/subgraph_1_to_subgraph_3/0000/rep_00/raw_row.json,66,0.0,3.2383575454545452,9.422885727272726,4.293847,12.343243,22,683,4752
algo3,Qwen/Qwen3.5-9B,Qwen/Qwen3-Embedding-0.6B,greedy,greedy,subgraph_1_to_subgraph_3,0,1,finished,True,/workspace/results/hf-paper-batch-algo3-qwen-current/runs/algo3/Qwen__Qwen3.5-9B/greedy/subgraph_1_to_subgraph_3/0000/rep_01/raw_row.json,66,0.0,2.5577751818181818,11.616037545454546,3.312393,14.189136,22,664,4752
algo3,Qwen/Qwen3.5-9B,Qwen/Qwen3-Embedding-0.6B,beam,beam_num_beams_2,subgraph_1_to_subgraph_3,0,1,finished,True,/workspace/results/hf-paper-batch-algo3-qwen-current/runs/algo3/Qwen__Qwen3.5-9B/beam_num_beams_2/subgraph_1_to_subgraph_3/0000/rep_01/raw_row.json,66,0.0,2.723902909090909,11.235400772727273,3.456666,13.598265,22,681,4752
algo3,Qwen/Qwen3.5-9B,Qwen/Qwen3-Embedding-0.6B,beam,beam_num_beams_6,subgraph_1_to_subgraph_3,0,1,finished,True,/workspace/results/hf-paper-batch-algo3-qwen-current/runs/algo3/Qwen__Qwen3.5-9B/beam_num_beams_6/subgraph_1_to_subgraph_3/0000/rep_01/raw_row.json,66,0.0,3.250787318181818,9.386967272727274,4.334336,12.227939,22,683,4752
algo3,Qwen/Qwen3.5-9B,Qwen/Qwen3-Embedding-0.6B,greedy,greedy,subgraph_1_to_subgraph_3,0,2,finished,True,/workspace/results/hf-paper-batch-algo3-qwen-current/runs/algo3/Qwen__Qwen3.5-9B/greedy/subgraph_1_to_subgraph_3/0000/rep_02/raw_row.json,66,0.0,2.535775545454545,11.7183605,3.357386,13.998986,22,664,4752
algo3,Qwen/Qwen3.5-9B,Qwen/Qwen3-Embedding-0.6B,beam,beam_num_beams_2,subgraph_1_to_subgraph_3,0,2,finished,True,/workspace/results/hf-paper-batch-algo3-qwen-current/runs/algo3/Qwen__Qwen3.5-9B/beam_num_beams_2/subgraph_1_to_subgraph_3/0000/rep_02/raw_row.json,66,0.0,2.703023909090909,11.300958863636364,3.486279,13.550102,22,681,4752
algo3,Qwen/Qwen3.5-9B,Qwen/Qwen3-Embedding-0.6B,beam,beam_num_beams_6,subgraph_1_to_subgraph_3,0,2,finished,True,/workspace/results/hf-paper-batch-algo3-qwen-current/runs/algo3/Qwen__Qwen3.5-9B/beam_num_beams_6/subgraph_1_to_subgraph_3/0000/rep_02/raw_row.json,66,0.0,3.2425408181818183,9.409433272727272,4.354627,12.170962,22,683,4752
algo3,Qwen/Qwen3.5-9B,Qwen/Qwen3-Embedding-0.6B,greedy,greedy,subgraph_1_to_subgraph_3,0,3,finished,True,/workspace/results/hf-paper-batch-algo3-qwen-current/runs/algo3/Qwen__Qwen3.5-9B/greedy/subgraph_1_to_subgraph_3/0000/rep_03/raw_row.json,66,0.0,2.5455875,11.675518363636364,3.309459,14.201716,22,664,4752
