algorithm,model,decoding_condition,replication,pair_name,condition_bits
algo2,mistralai/Ministral-3-8B-Instruct-2512,greedy,0,sg1_sg2,000000
algo2,mistralai/Ministral-3-8B-Instruct-2512,greedy,0,sg1_sg2,000001
algo2,mistralai/Ministral-3-8B-Instruct-2512,greedy,0,sg1_sg2,000010
algo2,mistralai/Ministral-3-8B-Instruct-2512,greedy,0,sg1_sg2,000011
algo2,mistralai/Ministral-3-8B-Instruct-2512,greedy,0,sg1_sg2,000100
algo2,mistralai/Ministral-3-8B-Instruct-2512,greedy,0,sg1_sg2,000101
algo2,mistralai/Ministral-3-8B-Instruct-2512,greedy,0,sg1_sg2,000110
algo2,mistralai/Ministral-3-8B-Instruct-2512,greedy,0,sg1_sg2,000111
algo2,mistralai/Ministral-3-8B-Instruct-2512,greedy,0,sg1_sg2,001000
algo2,mistralai/Ministral-3-8B-Instruct-2512,greedy,0,sg1_sg2,001001
algo2,mistralai/Ministral-3-8B-Instruct-2512,greedy,0,sg1_sg2,001010
algo2,mistralai/Ministral-3-8B-Instruct-2512,greedy,0,sg1_sg2,001011
algo2,mistralai/Ministral-3-8B-Instruct-2512,greedy,0,sg1_sg2,001100
algo2,mistralai/Ministral-3-8B-Instruct-2512,greedy,0,sg1_sg2,001101
algo2,mistralai/Ministral-3-8B-Instruct-2512,greedy,0,sg1_sg2,001110
algo2,mistralai/Ministral-3-8B-Instruct-2512,greedy,0,sg1_sg2,001111
algo2,mistralai/Ministral-3-8B-Instruct-2512,greedy,0,sg1_sg2,010000
algo2,mistralai/Ministral-3-8B-Instruct-2512,greedy,0,sg1_sg2,010001
algo2,mistralai/Ministral-3-8B-Instruct-2512,greedy,0,sg1_sg2,010010
algo2,mistralai/Ministral-3-8B-Instruct-2512,greedy,0,sg1_sg2,010011
algo2,mistralai/Ministral-3-8B-Instruct-2512,greedy,0,sg1_sg2,010100
algo2,mistralai/Ministral-3-8B-Instruct-2512,greedy,0,sg1_sg2,010101
algo2,mistralai/Ministral-3-8B-Instruct-2512,greedy,0,sg1_sg2,010110
algo2,mistralai/Ministral-3-8B-Instruct-2512,greedy,0,sg1_sg2,010111
algo2,mistralai/Ministral-3-8B-Instruct-2512,greedy,0,sg1_sg2,011000
algo2,mistralai/Ministral-3-8B-Instruct-2512,greedy,0,sg1_sg2,011001
algo2,mistralai/Ministral-3-8B-Instruct-2512,greedy,0,sg1_sg2,011010
algo2,mistralai/Ministral-3-8B-Instruct-2512,greedy,0,sg1_sg2,011011
algo2,mistralai/Ministral-3-8B-Instruct-2512,greedy,0,sg1_sg2,011100
algo2,mistralai/Ministral-3-8B-Instruct-2512,greedy,0,sg1_sg2,011101
algo2,mistralai/Ministral-3-8B-Instruct-2512,greedy,0,sg1_sg2,011110
algo2,mistralai/Ministral-3-8B-Instruct-2512,greedy,0,sg1_sg2,011111
algo2,mistralai/Ministral-3-8B-Instruct-2512,greedy,0,sg1_sg2,100000
algo2,mistralai/Ministral-3-8B-Instruct-2512,greedy,0,sg1_sg2,100001
algo2,mistralai/Ministral-3-8B-Instruct-2512,greedy,0,sg1_sg2,100010
algo2,mistralai/Ministral-3-8B-Instruct-2512,greedy,0,sg1_sg2,100011
algo2,mistralai/Ministral-3-8B-Instruct-2512,greedy,0,sg1_sg2,100100
algo2,mistralai/Ministral-3-8B-Instruct-2512,greedy,0,sg1_sg2,100101
algo2,mistralai/Ministral-3-8B-Instruct-2512,greedy,0,sg1_sg2,100110
algo2,mistralai/Ministral-3-8B-Instruct-2512,greedy,0,sg1_sg2,100111
algo2,mistralai/Ministral-3-8B-Instruct-2512,greedy,0,sg1_sg2,101000
algo2,mistralai/Ministral-3-8B-Instruct-2512,greedy,0,sg1_sg2,101001
algo2,mistralai/Ministral-3-8B-Instruct-2512,greedy,0,sg1_sg2,101010
algo2,mistralai/Ministral-3-8B-Instruct-2512,greedy,0,sg1_sg2,101011
algo2,mistralai/Ministral-3-8B-Instruct-2512,greedy,0,sg1_sg2,101100
algo2,mistralai/Ministral-3-8B-Instruct-2512,greedy,0,sg1_sg2,101101
algo2,mistralai/Ministral-3-8B-Instruct-2512,greedy,0,sg1_sg2,101110
algo2,mistralai/Ministral-3-8B-Instruct-2512,greedy,0,sg1_sg2,101111
algo2,mistralai/Ministral-3-8B-Instruct-2512,greedy,0,sg1_sg2,110000
algo2,mistralai/Ministral-3-8B-Instruct-2512,greedy,0,sg1_sg2,110001
algo2,mistralai/Ministral-3-8B-Instruct-2512,greedy,0,sg1_sg2,110010
algo2,mistralai/Ministral-3-8B-Instruct-2512,greedy,0,sg1_sg2,110011
algo2,mistralai/Ministral-3-8B-Instruct-2512,greedy,0,sg1_sg2,110100
algo2,mistralai/Ministral-3-8B-Instruct-2512,greedy,0,sg1_sg2,110101
algo2,mistralai/Ministral-3-8B-Instruct-2512,greedy,0,sg1_sg2,110110
algo2,mistralai/Ministral-3-8B-Instruct-2512,greedy,0,sg1_sg2,110111
algo2,mistralai/Ministral-3-8B-Instruct-2512,greedy,0,sg1_sg2,111000
algo2,mistralai/Ministral-3-8B-Instruct-2512,greedy,0,sg1_sg2,111001
algo2,mistralai/Ministral-3-8B-Instruct-2512,greedy,0,sg1_sg2,111010
algo2,mistralai/Ministral-3-8B-Instruct-2512,greedy,0,sg1_sg2,111011
algo2,mistralai/Ministral-3-8B-Instruct-2512,greedy,0,sg1_sg2,111100
algo2,mistralai/Ministral-3-8B-Instruct-2512,greedy,0,sg1_sg2,111101
algo2,mistralai/Ministral-3-8B-Instruct-2512,greedy,0,sg1_sg2,111110
algo2,mistralai/Ministral-3-8B-Instruct-2512,greedy,0,sg1_sg2,111111
algo2,mistralai/Ministral-3-8B-Instruct-2512,greedy,0,sg2_sg3,000000
algo2,mistralai/Ministral-3-8B-Instruct-2512,greedy,0,sg2_sg3,000001
algo2,mistralai/Ministral-3-8B-Instruct-2512,greedy,0,sg2_sg3,000010
algo2,mistralai/Ministral-3-8B-Instruct-2512,greedy,0,sg2_sg3,000011
algo2,mistralai/Ministral-3-8B-Instruct-2512,greedy,0,sg2_sg3,000100
algo2,mistralai/Ministral-3-8B-Instruct-2512,greedy,0,sg2_sg3,000101
algo2,mistralai/Ministral-3-8B-Instruct-2512,greedy,0,sg2_sg3,000110
algo2,mistralai/Ministral-3-8B-Instruct-2512,greedy,0,sg2_sg3,000111
algo2,mistralai/Ministral-3-8B-Instruct-2512,greedy,0,sg2_sg3,001000
algo2,mistralai/Ministral-3-8B-Instruct-2512,greedy,0,sg2_sg3,001001
algo2,mistralai/Ministral-3-8B-Instruct-2512,greedy,0,sg2_sg3,001010
algo2,mistralai/Ministral-3-8B-Instruct-2512,greedy,0,sg2_sg3,001011
algo2,mistralai/Ministral-3-8B-Instruct-2512,greedy,0,sg2_sg3,001100
algo2,mistralai/Ministral-3-8B-Instruct-2512,greedy,0,sg2_sg3,001101
algo2,mistralai/Ministral-3-8B-Instruct-2512,greedy,0,sg2_sg3,001110
algo2,mistralai/Ministral-3-8B-Instruct-2512,greedy,0,sg2_sg3,001111
