algorithm,graph_source,model,baseline_strategy,metric,llm_mean,baseline_mean,baseline_ci95_low,baseline_ci95_high,mean_delta,mean_k,row_count,llm_row_count
algo3,babs_johnson,Qwen/Qwen3.5-9B,random-k,recall,0.0,0.0,0.0,0.0,0.0,0.0,600,120
algo3,babs_johnson,Qwen/Qwen3.5-9B,wordnet-ontology-match,recall,0.0,0.0,0.0,0.0,0.0,0.0,120,120
algo3,babs_johnson,mistralai/Ministral-3-8B-Instruct-2512,random-k,recall,0.0,0.0,0.0,0.0,0.0,0.0,600,120
algo3,babs_johnson,mistralai/Ministral-3-8B-Instruct-2512,wordnet-ontology-match,recall,0.0,0.0,0.0,0.0,0.0,0.0,120,120
algo3,clarice_starling,Qwen/Qwen3.5-9B,random-k,recall,0.125,0.125,0.09851489535707708,0.15148510464292292,0.0,46.75,600,120
algo3,clarice_starling,Qwen/Qwen3.5-9B,wordnet-ontology-match,recall,0.125,0.125,0.06557877186609842,0.18442122813390158,0.0,46.75,120,120
algo3,clarice_starling,mistralai/Ministral-3-8B-Instruct-2512,random-k,recall,0.0,0.0,0.0,0.0,0.0,0.0,600,120
algo3,clarice_starling,mistralai/Ministral-3-8B-Instruct-2512,wordnet-ontology-match,recall,0.0,0.0,0.0,0.0,0.0,0.0,120,120
algo3,philip_marlowe,Qwen/Qwen3.5-9B,random-k,recall,0.3333333333333333,0.3333333333333333,0.29558164288507677,0.37108502378158986,0.0,22.166666666666668,600,120
algo3,philip_marlowe,Qwen/Qwen3.5-9B,wordnet-ontology-match,recall,0.3333333333333333,0.3333333333333333,0.24863471345585048,0.41803195321081615,0.0,22.166666666666668,120,120
algo3,philip_marlowe,mistralai/Ministral-3-8B-Instruct-2512,random-k,recall,0.4166666666666667,0.4166666666666667,0.37718500375148606,0.4561483295818473,0.0,33.0,600,120
algo3,philip_marlowe,mistralai/Ministral-3-8B-Instruct-2512,wordnet-ontology-match,recall,0.4166666666666667,0.4166666666666667,0.32808672972404873,0.5052466036092846,0.0,33.0,120,120
