algorithm,model,baseline_strategy,metric,source_file,source_row,baseline_repetition,k,llm_metric,baseline_metric,delta,graph_source,pair_name,decoding_algorithm
algo3,mistralai/Ministral-3-8B-Instruct-2512,random-k,recall,runs/algo3/mistralai__Ministral-3-8B-Instruct-2512/beam_num_beams_6/babs_johnson/subgraph_1_to_subgraph_3/000/rep_00/raw_row.json,0,0.0,0,0.0,0.0,0.0,babs_johnson,subgraph_1_to_subgraph_3,beam
algo3,mistralai/Ministral-3-8B-Instruct-2512,random-k,recall,runs/algo3/mistralai__Ministral-3-8B-Instruct-2512/beam_num_beams_6/babs_johnson/subgraph_1_to_subgraph_3/000/rep_00/raw_row.json,0,1.0,0,0.0,0.0,0.0,babs_johnson,subgraph_1_to_subgraph_3,beam
algo3,mistralai/Ministral-3-8B-Instruct-2512,random-k,recall,runs/algo3/mistralai__Ministral-3-8B-Instruct-2512/beam_num_beams_6/babs_johnson/subgraph_1_to_subgraph_3/000/rep_00/raw_row.json,0,2.0,0,0.0,0.0,0.0,babs_johnson,subgraph_1_to_subgraph_3,beam
algo3,mistralai/Ministral-3-8B-Instruct-2512,random-k,recall,runs/algo3/mistralai__Ministral-3-8B-Instruct-2512/beam_num_beams_6/babs_johnson/subgraph_1_to_subgraph_3/000/rep_00/raw_row.json,0,3.0,0,0.0,0.0,0.0,babs_johnson,subgraph_1_to_subgraph_3,beam
algo3,mistralai/Ministral-3-8B-Instruct-2512,random-k,recall,runs/algo3/mistralai__Ministral-3-8B-Instruct-2512/beam_num_beams_6/babs_johnson/subgraph_1_to_subgraph_3/000/rep_00/raw_row.json,0,4.0,0,0.0,0.0,0.0,babs_johnson,subgraph_1_to_subgraph_3,beam
algo3,mistralai/Ministral-3-8B-Instruct-2512,wordnet-ontology-match,recall,runs/algo3/mistralai__Ministral-3-8B-Instruct-2512/beam_num_beams_6/babs_johnson/subgraph_1_to_subgraph_3/000/rep_00/raw_row.json,0,,0,0.0,0.0,0.0,babs_johnson,subgraph_1_to_subgraph_3,beam
algo3,mistralai/Ministral-3-8B-Instruct-2512,random-k,recall,runs/algo3/mistralai__Ministral-3-8B-Instruct-2512/beam_num_beams_6/clarice_starling/subgraph_1_to_subgraph_3/000/rep_00/raw_row.json,1,0.0,0,0.0,0.0,0.0,clarice_starling,subgraph_1_to_subgraph_3,beam
algo3,mistralai/Ministral-3-8B-Instruct-2512,random-k,recall,runs/algo3/mistralai__Ministral-3-8B-Instruct-2512/beam_num_beams_6/clarice_starling/subgraph_1_to_subgraph_3/000/rep_00/raw_row.json,1,1.0,0,0.0,0.0,0.0,clarice_starling,subgraph_1_to_subgraph_3,beam
algo3,mistralai/Ministral-3-8B-Instruct-2512,random-k,recall,runs/algo3/mistralai__Ministral-3-8B-Instruct-2512/beam_num_beams_6/clarice_starling/subgraph_1_to_subgraph_3/000/rep_00/raw_row.json,1,2.0,0,0.0,0.0,0.0,clarice_starling,subgraph_1_to_subgraph_3,beam
algo3,mistralai/Ministral-3-8B-Instruct-2512,random-k,recall,runs/algo3/mistralai__Ministral-3-8B-Instruct-2512/beam_num_beams_6/clarice_starling/subgraph_1_to_subgraph_3/000/rep_00/raw_row.json,1,3.0,0,0.0,0.0,0.0,clarice_starling,subgraph_1_to_subgraph_3,beam
algo3,mistralai/Ministral-3-8B-Instruct-2512,random-k,recall,runs/algo3/mistralai__Ministral-3-8B-Instruct-2512/beam_num_beams_6/clarice_starling/subgraph_1_to_subgraph_3/000/rep_00/raw_row.json,1,4.0,0,0.0,0.0,0.0,clarice_starling,subgraph_1_to_subgraph_3,beam
algo3,mistralai/Ministral-3-8B-Instruct-2512,wordnet-ontology-match,recall,runs/algo3/mistralai__Ministral-3-8B-Instruct-2512/beam_num_beams_6/clarice_starling/subgraph_1_to_subgraph_3/000/rep_00/raw_row.json,1,,0,0.0,0.0,0.0,clarice_starling,subgraph_1_to_subgraph_3,beam
algo3,mistralai/Ministral-3-8B-Instruct-2512,random-k,recall,runs/algo3/mistralai__Ministral-3-8B-Instruct-2512/beam_num_beams_6/philip_marlowe/subgraph_1_to_subgraph_3/000/rep_00/raw_row.json,2,0.0,0,0.0,0.0,0.0,philip_marlowe,subgraph_1_to_subgraph_3,beam
