Algorithm,Decoding,Model,Runs,Accuracy,Precision,Recall,F1
algo1,greedy,Qwen,480,0.8374,0.9479,0.8374,0.8719
algo1,greedy,Mistral,480,0.9531,1.0000,0.9531,0.9731
algo1,beam_num_beams_2,Qwen,480,0.8845,0.9625,0.8845,0.9069
algo1,beam_num_beams_2,Mistral,480,0.9167,1.0000,0.9167,0.9494
algo1,beam_num_beams_6,Qwen,480,0.8167,0.9542,0.8167,0.8477
algo1,beam_num_beams_6,Mistral,480,0.9111,1.0000,0.9111,0.9446
algo1,contrastive_penalty_alpha_0.2,Qwen,480,0.8456,0.9479,0.8456,0.8770
algo1,contrastive_penalty_alpha_0.2,Mistral,480,0.9252,0.9688,0.9252,0.9417
algo1,contrastive_penalty_alpha_0.8,Qwen,480,0.2022,0.2708,0.2022,0.2193
algo1,contrastive_penalty_alpha_0.8,Mistral,480,0.0885,0.1354,0.0885,0.1020
algo2,greedy,Qwen,960,0.7098,0.8438,0.7098,0.7533
algo2,greedy,Mistral,960,0.7089,0.8594,0.7089,0.7622
algo2,beam_num_beams_2,Qwen,960,0.6229,0.7969,0.6229,0.6773
algo2,beam_num_beams_2,Mistral,960,0.7907,0.9219,0.7907,0.8406
algo2,beam_num_beams_6,Qwen,960,0.5777,0.6875,0.5777,0.6090
algo2,beam_num_beams_6,Mistral,960,0.6723,0.8438,0.6723,0.7302
algo2,contrastive_penalty_alpha_0.2,Qwen,960,0.6021,0.7323,0.6021,0.6399
algo2,contrastive_penalty_alpha_0.2,Mistral,960,0.6189,0.7760,0.6189,0.6694
algo2,contrastive_penalty_alpha_0.8,Qwen,960,0.0578,0.0677,0.0578,0.0604
algo2,contrastive_penalty_alpha_0.8,Mistral,960,0.0043,0.0104,0.0043,0.0060
algo3,greedy,Qwen,240,N/A,N/A,0.0483,N/A
algo3,greedy,Mistral,240,N/A,N/A,0.0189,N/A
algo3,beam_num_beams_2,Qwen,240,N/A,N/A,0.0634,N/A
algo3,beam_num_beams_2,Mistral,240,N/A,N/A,0.0095,N/A
algo3,beam_num_beams_6,Qwen,240,N/A,N/A,0.0833,N/A
algo3,beam_num_beams_6,Mistral,240,N/A,N/A,0.0095,N/A
algo3,contrastive_penalty_alpha_0.2,Qwen,240,N/A,N/A,0.0000,N/A
algo3,contrastive_penalty_alpha_0.2,Mistral,240,N/A,N/A,0.0095,N/A
algo3,contrastive_penalty_alpha_0.8,Qwen,240,N/A,N/A,0.0208,N/A
algo3,contrastive_penalty_alpha_0.8,Mistral,240,N/A,N/A,0.0000,N/A
