profile,confidence_level,z_score,relative_half_width_target,grouping,algorithm,model,decoding_condition,metric,pair_name,condition_bits,source_finished_run_count,metric_observation_count,condition_count,conditions_needing_more_runs,condition_share_needing_more_runs,conditions_below_expected_replications,observed_runs_min,observed_runs_median,observed_runs_max,required_total_runs_max,additional_runs_needed_total,additional_runs_needed_max
ci90_rel05,0.9,1.645,0.05,algorithm,algo1,ALL,ALL,ALL,ALL,ALL,16800,19200,3840,39,0.01015625,0,5,5.0,5,2030,13865,2025
ci90_rel05,0.9,1.645,0.05,algorithm,algo2,ALL,ALL,ALL,ALL,ALL,16800,38400,7680,26,0.0033854166666666668,0,5,5.0,5,345,5543,340
ci90_rel05,0.9,1.645,0.05,algorithm,algo3,ALL,ALL,ALL,ALL,ALL,16800,2400,480,0,0.0,0,5,5.0,5,5,0,0
ci90_rel05,0.9,1.645,0.05,algorithm_model,algo1,Qwen/Qwen3.5-9B,ALL,ALL,ALL,ALL,16800,9600,1920,26,0.013541666666666667,0,5,5.0,5,2030,13583,2025
ci90_rel05,0.9,1.645,0.05,algorithm_model,algo1,mistralai/Ministral-3-8B-Instruct-2512,ALL,ALL,ALL,ALL,16800,9600,1920,13,0.0067708333333333336,0,5,5.0,5,76,282,71
ci90_rel05,0.9,1.645,0.05,algorithm_model,algo2,Qwen/Qwen3.5-9B,ALL,ALL,ALL,ALL,16800,19200,3840,8,0.0020833333333333333,0,5,5.0,5,339,2672,334
ci90_rel05,0.9,1.645,0.05,algorithm_model,algo2,mistralai/Ministral-3-8B-Instruct-2512,ALL,ALL,ALL,ALL,16800,19200,3840,18,0.0046875,0,5,5.0,5,345,2871,340
ci90_rel05,0.9,1.645,0.05,algorithm_model,algo3,Qwen/Qwen3.5-9B,ALL,ALL,ALL,ALL,16800,1200,240,0,0.0,0,5,5.0,5,5,0,0
ci90_rel05,0.9,1.645,0.05,algorithm_model,algo3,mistralai/Ministral-3-8B-Instruct-2512,ALL,ALL,ALL,ALL,16800,1200,240,0,0.0,0,5,5.0,5,5,0,0
ci90_rel05,0.9,1.645,0.05,algorithm_model_decoding,algo1,Qwen/Qwen3.5-9B,beam_num_beams_2,ALL,ALL,ALL,16800,1920,384,10,0.026041666666666668,0,5,5.0,5,2030,9394,2025
ci90_rel05,0.9,1.645,0.05,algorithm_model_decoding,algo1,Qwen/Qwen3.5-9B,beam_num_beams_6,ALL,ALL,ALL,16800,1920,384,4,0.010416666666666666,0,5,5.0,5,903,3592,898
ci90_rel05,0.9,1.645,0.05,algorithm_model_decoding,algo1,Qwen/Qwen3.5-9B,contrastive_penalty_alpha_0.2,ALL,ALL,ALL,16800,1920,384,0,0.0,0,5,5.0,5,5,0,0
ci90_rel05,0.9,1.645,0.05,algorithm_model_decoding,algo1,Qwen/Qwen3.5-9B,contrastive_penalty_alpha_0.8,ALL,ALL,ALL,16800,1920,384,0,0.0,0,5,5.0,5,5,0,0
ci90_rel05,0.9,1.645,0.05,algorithm_model_decoding,algo1,Qwen/Qwen3.5-9B,greedy,ALL,ALL,ALL,16800,1920,384,12,0.03125,0,5,5.0,5,81,597,76
