algorithm,model,feature,metric,ss,pct_with_error,pct_without_error
algo1,Mistral,Array/List,accuracy,0.012604166666666708,0.0036368382266916024,0.004538129913997514
algo1,Mistral,Array/List & Beam Width,accuracy,0.005167441460055109,0.0014910266686507974,0.001860537177021382
algo1,Mistral,Array/List & Beam vs Contrastive,accuracy,0.0046875,0.0013525431421580296,0.0016877342655362598
algo1,Mistral,Array/List & Contrastive Penalty,accuracy,0.271231491046832,0.07826182253924045,0.09765689201754232
algo1,Mistral,Array/List & Greedy vs Beam/Contrastive,accuracy,0.05294765840220392,0.015277651683248402,0.019063803171265794
algo1,Mistral,Array/List & Tag/Adjacency,accuracy,0.04514548898071629,0.013026393924317592,0.0162546322532575
algo1,Mistral,Beam Width,accuracy,0.007491821625345335,0.0021617092184815054,0.002697430201254587
algo1,Mistral,Beam vs Contrastive,accuracy,79.51448002754914,22.94330979488495,28.629186677075896
algo1,Mistral,Contrastive Penalty,accuracy,167.99506069215087,48.473721014526,60.48661767914382
algo1,Mistral,Counterexample,accuracy,0.27871986914600577,0.0804225381539442,0.10035308237727927
algo1,Mistral,Counterexample & Array/List,accuracy,0.028203340220385696,0.008137863338886912,0.010154611987738009
algo1,Mistral,Counterexample & Beam Width,accuracy,0.0007769455922864968,0.00022418185230442875,0.00027973924235931414
algo1,Mistral,Counterexample & Beam vs Contrastive,accuracy,0.059934573002754774,0.01729367374784976,0.02157944161003385
algo1,Mistral,Counterexample & Contrastive Penalty,accuracy,0.028462896005509566,0.00821275622361795,0.010248065042110642
algo1,Mistral,Counterexample & Greedy vs Beam/Contrastive,accuracy,0.0019016873278236946,0.0005487176861390436,0.0006847024779742157
algo1,Mistral,Counterexample & Tag/Adjacency,accuracy,0.2519636707988978,0.07270223680256269,0.09071951378722086
algo1,Mistral,Error,accuracy,68.83013085399102,19.86042057821981,0.0
algo1,Mistral,Example,accuracy,0.15991821625344357,0.04614320782927783,0.057578550027599866
algo1,Mistral,Example & Array/List,accuracy,0.11095127410468342,0.03201416211285021,0.039948003650427756
algo1,Mistral,Example & Beam Width,accuracy,0.14661027892562004,0.042303301830554293,0.05278702750348747
algo1,Mistral,Example & Beam vs Contrastive,accuracy,0.07052341597796138,0.02034900536374393,0.02539195427598353
algo1,Mistral,Example & Contrastive Penalty,accuracy,0.6629325929752052,0.19128425223288623,0.23868886461974534
algo1,Mistral,Example & Counterexample,accuracy,0.024587637741047098,0.007094579372484096,0.008852778394486987
algo1,Mistral,Example & Greedy vs Beam/Contrastive,accuracy,0.035476067493112946,0.010236354517023002,0.012773157272448802
algo1,Mistral,Example & Tag/Adjacency,accuracy,0.18137138429752084,0.05233335936326834,0.06530276268088983
algo1,Mistral,Explanation,accuracy,0.2709375,0.07817699361673411,0.09755104054799582
algo1,Mistral,Explanation & Array/List,accuracy,0.41105457988980765,0.11860673132428998,0.14800019189026994
algo1,Mistral,Explanation & Beam Width,accuracy,0.0629325929752066,0.018158730036658834,0.02265887863110458
algo1,Mistral,Explanation & Beam vs Contrastive,accuracy,0.03333333333333329,0.009618084566457087,0.012001665888257834
algo1,Mistral,Explanation & Contrastive Penalty,accuracy,0.6629325929752059,0.19128425223288642,0.2386888646197456
algo1,Mistral,Explanation & Counterexample,accuracy,0.06797606749311316,0.019613986969318736,0.02447478151350028
algo1,Mistral,Explanation & Example,accuracy,0.5495876377410471,0.15857941129418343,0.1978790161345481
algo1,Mistral,Explanation & Greedy vs Beam/Contrastive,accuracy,0.07390581955922867,0.021324972674219417,0.026609788606432035
algo1,Mistral,Explanation & Tag/Adjacency,accuracy,0.06322400137741035,0.01824281375633199,0.022763800219512992
algo1,Mistral,Greedy vs Beam/Contrastive,accuracy,22.62924328512442,6.529499267737744,8.147658516364972
algo1,Mistral,Tag/Adjacency,accuracy,0.3319912190082631,0.09579358859227963,0.11953343065117836
algo1,Mistral,Tag/Adjacency & Beam Width,accuracy,0.017047606749311283,0.0049189597011174225,0.006137990411989304
algo1,Mistral,Tag/Adjacency & Beam vs Contrastive,accuracy,1.2644800275482069,0.3648562751266397,0.4552760043902598
algo1,Mistral,Tag/Adjacency & Contrastive Penalty,accuracy,0.6160145488980717,0.1777464007640873,0.22179602394541603
algo1,Mistral,Tag/Adjacency & Greedy vs Beam/Contrastive,accuracy,0.7334099517906326,0.21161996814610587,0.26406423601543405
algo1,Mistral,Array/List,precision,0.04166666666666665,0.01180498170227836,0.014277555682467157
algo1,Mistral,Array/List & Beam Width,precision,0.0,0.0,0.0
algo1,Mistral,Array/List & Beam vs Contrastive,precision,0.05208333333333331,0.014756227127847948,0.017846944603083944
algo1,Mistral,Array/List & Contrastive Penalty,precision,0.41666666666666646,0.11804981702278358,0.14277555682467155
algo1,Mistral,Array/List & Greedy vs Beam/Contrastive,precision,0.010416666666666663,0.00295124542556959,0.003569388920616789
algo1,Mistral,Array/List & Tag/Adjacency,precision,0.04166666666666662,0.011804981702278351,0.014277555682467148
algo1,Mistral,Beam Width,precision,6.656013887802288e-32,1.8857789317348003e-32,2.2807586137529256e-32
algo1,Mistral,Beam vs Contrastive,precision,96.30208333333303,27.28426395939078,32.99900057110213
algo1,Mistral,Contrastive Penalty,precision,166.6666666666664,47.21992680911338,57.11022272986855
algo1,Mistral,Counterexample,precision,0.16666666666666666,0.04721992680911345,0.05711022272986865
algo1,Mistral,Counterexample & Array/List,precision,0.16666666666666666,0.04721992680911345,0.05711022272986865
algo1,Mistral,Counterexample & Beam Width,precision,0.0,0.0,0.0
algo1,Mistral,Counterexample & Beam vs Contrastive,precision,0.20833333333333334,0.059024908511391826,0.07138777841233582
algo1,Mistral,Counterexample & Contrastive Penalty,precision,0.10416666666666677,0.02951245425569594,0.03569388920616794
algo1,Mistral,Counterexample & Greedy vs Beam/Contrastive,precision,0.041666666666666664,0.011804981702278363,0.014277555682467162
